PWS ID,PWS Type,PWS Name,Owner Type
CA1000230,Transient non-community system,FRESNO COUNTY SPORTSMEN'S CLUB,Private
CA1310013,Community water system,SEELEY CWD,Local government
CA2400307,Transient non-community system,CRESSEY STORE,Private
CA1200751,Transient non-community system,CHIMNEY TREE,Private
CA2710017,Community water system,MARINA COAST WATER DISTRICT,Local government
CA1502745,Transient non-community system,SYCAMORE CANYON GOLF COURSE,Local government
CA2400304,Transient non-community system,BOLAND'S MARKET,Private
CA2400315,Transient non-community system,MERCED FRUIT BARN,Private
CA2400222,Transient non-community system,9-IRON WATER SYSTEM,Private
CA1700592,Community water system,BAYVIEW RECREATIONAL PARK,Private
CA1503231,Transient non-community system,FOUR WINDS WATER SYSTEM,Private
CA3500581,Community water system,RANCHO SAN JOAQUIN MWC,Private
CA3601170,Transient non-community system,MOLLY BROWN S COUNTRY CAFE,Private
CA2702799,Transient non-community system,RIVER RD WS#34,Private
CA4200957,Transient non-community system,KENNETH VOLK VINEYARDS,Private
CA3700952,Transient non-community system,CROCKER FAMILY TRUST,Private
CA3601178,Transient non-community system,THAT CREATIVE CAFE,Private
CA3601179,Non-Transient non-community system,EL MIRAGE SCHOOL,Local government
CA3705071,Transient non-community system,ALPINE AMERICAN LEGION,Private
CA3601112,Transient non-community system,PINE RIDGE TREATMENT CENTER,Private
CA3705072,Transient non-community system,SANTA MARGARITA COUNTY PRESERVE,Local government
CA3710308,Transient non-community system,ANZA BORREGO SP - LUCKY 5,State government
CA2702802,Non-Transient non-community system,OASIS RD WS #2,Private
CA0900670,Community water system,MARJORIE STREET APTS.,Private
CA1300680,Non-Transient non-community system,"ORMAT NEVADA, INC",Private
CA1300682,Transient non-community system,CAMACHO S RESTAURANT,Private
CA4510016,Community water system,CLEAR CREEK CSD-ANDERSON,Local government
CA3610038,Community water system,"RIALTO, CITY OF",Local government
CA3610037,Community water system,REDLANDS CITY MUD-WATER DIV,Local government
CA4200960,Transient non-community system,LIVE OAK CAMPGROUND,Private
CA4200964,Transient non-community system,FLAG IS UP FARMS,Private
CA4200965,Transient non-community system,PARKER WINERY,Private
CA3301140,Transient non-community system,Chuckwalla Valley Associates,Private
CA3400463,Transient non-community system,NATOMAS GOLF CENTER,Private
CA3400464,Transient non-community system,"RIVER CITY RECOVERY CENTER, INC. (SWS)",Private
CA5400887,Non-Transient non-community system,PARK INVESTMENTS WATER SYSTEM,Private
CA1000454,Transient non-community system,VIKING RV PARK,Private
CA2100519,Community water system,ESTERO MUTUAL,Private
CA1700596,Community water system,LAKEVIEW HAVEN RESORT,Private
CA1503681,Non-Transient non-community system,COLUMBINE VINEYARDS PART 1,Private
CA1200648,Transient non-community system,FERNBRIDGE MARKET,Private
CA1503682,Non-Transient non-community system,"SUNSELECT PRODUCE, INC.",Private
CA4810001,Community water system,CITY OF BENICIA,Local government
CA1210006,Community water system,"FORTUNA, CITY OF",Local government
CA4410013,Community water system,SCOTTS VALLEY WATER DISTRICT,Local government
CA1510056,Community water system,CWS - LOWER BODFISH WATER SYSTEM,Private
CA1500374,Community water system,CWS-GRAND OAKS WATER SYSTEM,Private
CA1510043,Community water system,CWS-ONYX WATER SYSTEM,Private
CA1510039,Community water system,CWS SOUTHLAKE SQUIRREL VALLEY SYSTEM,Private
CA1510026,Community water system,CWS - UPPER BODFISH WATER SYSTEM,Private
CA1500408,Community water system,CWS COUNTRYWOOD SYSTEM,Private
CA1500407,Community water system,CWS-SPLIT MOUNTAIN WATER SYSTEM,Private
CA4700531,Community water system,TENNANT C.S.D.,Local government
CA1410001,Community water system,"BISHOP, CITY OF",Local government
CA5810001,Community water system,CAL-WATER SERVICE CO.-MARYSVILLE,Private
CA0410005,Community water system,CAL-WATER SERVICE CO.-OROVILLE,Private
CA0410002,Community water system,CAL-WATER SERVICE CO.-CHICO,Private
CA1110003,Community water system,CAL-WATER SERVICE CO.-WILLOWS,Private
CA4800595,Non-Transient non-community system,"MARIANI PACKING COMPANY, INC.",Private
CA5000586,Transient non-community system,CALIFORNIA TRANSPLANTS LLC,Private
CA5000590,Non-Transient non-community system,CEBRO FROZEN FOODS (EH),Private
CA5800009,Transient non-community system,ALCOUFFE COMMUNITY CENTER,Private
CA4400904,Community water system,CASSIN RANCH WATER SYSTEM,Private
CA0105020,Non-Transient non-community system,ALAMEDA COUNTY FAIRGROUNDS,Public/Private
CA1000053,Community water system,LANARE COMMUNITY SERVICES DIST,Private
CA1710011,Community water system,BUCKINGHAM PARK WATER DISTRICT,Local government
CA4900647,Community water system,SERENO DEL MAR WATER COMPANY (PUC),Private
CA2810001,Community water system,HOWELL MOUNTAIN MUTUAL WATER COMPANY,Private
CA3310801,Community water system,BAUTISTA CC NO. 36,State government
CA4010901,Community water system,SLOCSA #10A - CAYUCOS,Local government
CA4010025,Community water system,SLO CWD NO. 10 - CAYUCOS WTP,Local government
CA4010024,Community water system,SLO CWWD NO. 23 - SANTA MARGARITA,Local government
CA4010028,Community water system,SLO CSA NO. 16 - SHANDON,Local government
CA4010080,Community water system,NACIMIENTO WATER PROJECT,Local government
CA4010022,Community water system,LOPEZ PROJECT,Local government
CA3301132,Transient non-community system,Diamond Valley Market Water,Private
CA3301137,Transient non-community system,Valley Auto Water,Private
CA1300676,Non-Transient non-community system,"EARTHRISE NUTRITIONALS, LLC",Private
CA2400208,Transient non-community system,MERCEY SPRINGS SHELL,Private
CA1910023,Community water system,AVERYDALE MWC,Private
CA2400240,Transient non-community system,THE VISTA RANCH AND CELLARS,Private
CA2400085,Transient non-community system,FIREBAUGH TRAVEL PLAZA (SW),Private
CA1503660,Non-Transient non-community system,DELTA TRADING WATER SYSTEM,Private
CA1503384,Non-Transient non-community system,SOUTH VALLEY FARMS-BEECH HULLER/OFFICE,Private
CA1503657,Community water system,KIMBERLINA HOUSING UNIT,Private
CA3400456,Non-Transient non-community system,STAFFORD MEAT COMPANY,Private
CA5200509,Transient non-community system,SPORTSMAN MOTEL,Private
CA4810701,Community water system,TRAVIS AIR FORCE BASE - DISTRIBUTION,Federal government
CA5610007,Community water system,OXNARD WATER DEPT,Local government
CA4200961,Non-Transient non-community system,PACIFIC COAST ENERGY CO,Private
CA0500088,Transient non-community system,MOANING CAVERN,Private
CA3600096,Non-Transient non-community system,Steve Speisser Apts (Dunes),Private
CA3600610,Transient non-community system,"BAGDAD CAFE, ANDREA PRUITT",Private
CA4200949,Transient non-community system,WHITE LOTUS FOUNDATION,Private
CA3107321,Transient non-community system,PALISADES WATER SYSTEM,Private
CA3107328,Transient non-community system,TAMARACK LODGE,Private
CA3601165,Transient non-community system,MY PLACE,Private
CA3601166,Transient non-community system,SHADY COVE,Federal government
CA2702624,Non-Transient non-community system,UNI-KOOL WS,Private
CA2702642,Transient non-community system,CAMPHORA-GLORIA RD WS #01,Private
CA2702728,Transient non-community system,ROCKY POINT RESTAURANT WS *CLOSED*,Private
CA4000805,Community water system,CALLENDER GROVE MUTUAL WATER,Private
CA3205007,Transient non-community system,PNF SPANISH CREEK CG,Federal government
CA2702609,Transient non-community system,SAN SABA WINERY WS,Private
CA4400902,Community water system,GIZDICH HOME RANCH,Private
CA4400903,Community water system,NARCONON VISTA BAY,Private
CA1300662,Transient non-community system,GORDON S WELL PARK # 2,Private
CA1300667,Transient non-community system,IVC DESERT MUSEUM SOCIETY INC.,Private
CA1300668,Non-Transient non-community system,ALLIED WASTE OF IMPERIAL VALLEY,Private
CA2600732,Transient non-community system,POKONOBE LODGE RES./STORE,Private
CA2600754,Transient non-community system,CROWLEY LAKE TRAILER PARK,Private
CA0202502,Transient non-community system,WOODFORDS STATION,Private
CA5400660,Community water system,LAKE SUCCESS MOBILE LODGE,Private
CA5000570,Non-Transient non-community system,VALLEY PETERBILT,Private
CA4400906,Community water system,MYSTERY SPOT SNACK SHACK,Private
CA5200057,Non-Transient non-community system,SIERRA PACIFIC INDUSTRIES,Private
CA0707542,Transient non-community system,CONCORD MT DIABLO TRAILRIDE ASSOC.,Private
CA5410039,Community water system,PLAINVIEW MUTUAL WATER COMPANY,Private
CA1000490,Non-Transient non-community system,LOS GATOS TOMATO PRODUCTS,Private
CA1502163,Non-Transient non-community system,LINNS VALLEY SCHOOL,Public/Private
CA3710021,Community water system,SAN DIEGUITO WD,Local government
CA3600036,Non-Transient non-community system,CALICO GHOST TOWN,Local government
CA1310002,Community water system,"CALEXICO, CITY OF",Local government
CA0610002,Community water system,CITY OF COLUSA,Local government
CA1910083,Community water system,"MANHATTAN BEACH-CITY, WATER DEPT.",Local government
CA1000587,Transient non-community system,SHAVER LAKE POINT LLC,Private
