PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA4900925,SEBASTIANI VINEYARDS,Region 9,California,Non-Transient non-community system,157,,Sonoma,4,4,3
CA4700663,"WEED GOLF CLUB, INC.",Region 9,California,Transient non-community system,110,,Siskiyou,2,28,6
CA4200972,PEAKE RANCH,Region 9,California,Transient non-community system,93,,Santa Barbara,2,0,1
CA2300953,BOONVILLE HOTEL,Region 9,California,Transient non-community system,25,,Mendocino,3,0,1
CA2300954,OFFSTREET STUDIOS,Region 9,California,Transient non-community system,25,,Mendocino,3,0,2
CA4600066,THE LURE,Region 9,California,Transient non-community system,55,,Sierra,4,24,5
CA3303090,MISSION CREEK PRESERVE,Region 9,California,Transient non-community system,30,,Riverside,2,9,5
CA5200540,REEDS CREEK SCHOOL,Region 9,California,Non-Transient non-community system,196,,Tehama,2,1,8
CA0300088,BLACK CHASM CAVERN,Region 9,California,Transient non-community system,112,,Amador,3,3,5
CA4901143,SENECA FAMILY OF AGENCIES,Region 9,California,Non-Transient non-community system,40,,Sonoma,3,6,3
CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,"1,026",,Tulare,9,62,9
CA4210011,SANTA MARIA WATER DEPARTMENT,Region 9,California,Community water system,"107,356",,Santa Barbara,29,5,20
CA1503669,NORTH KRANENBURG WS,Region 9,California,Community water system,28,,Kern,2,1,3
CA5301002,LEWISTON COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,701,,Trinity,16,35,23
CA4300839,SAN MARTIN LIONS CLUB,Region 9,California,Transient non-community system,30,,Santa Clara,3,3,7
CA3710014,"OCEANSIDE, CITY OF",Region 9,California,Community water system,"178,021",OCEANSIDE,San Diego,40,3,25
CA3200123,BOURBON & WATER CO,Region 9,California,Transient non-community system,25,,Plumas,3,5,7
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,Region 9,California,Community water system,160,,San Benito,3,29,8
CA1500478,"VALLEY ESTATES POA, INC.",Region 9,California,Community water system,386,,Kern,3,21,9
CA3600597,PALI OVERNIGHT ADVENTURES,Region 9,California,Non-Transient non-community system,50,,San Bernardino,8,1,39
CA4410013,SCOTTS VALLEY WATER DISTRICT,Region 9,California,Community water system,"10,709",,Santa Cruz,25,13,25
CA1000454,VIKING RV PARK,Region 9,California,Transient non-community system,86,,Fresno,2,9,5
CA2100519,ESTERO MUTUAL,Region 9,California,Community water system,186,,Marin,8,53,8
CA1700596,BLUE LAKES VILLAGE,Region 9,California,Community water system,65,,Lake,5,27,6
CA2701498,HARBOR VIEW WA,Region 9,California,Community water system,75,,Monterey,2,22,12
CA2701820,CORDA RD WS,Region 9,California,Community water system,60,,Monterey,2,18,10
CA0900603,ECHO PEAK WATER ASSOCIATION,Region 9,California,Transient non-community system,73,,El Dorado,2,11,5
CA0706049,ALOHA CLUB,Region 9,California,Transient non-community system,60,,Contra Costa,4,18,19
CA2701742,CALIFORNIA ORCHARD WS,Region 9,California,Community water system,150,,Monterey,12,14,13
CA2701403,PINE ST WS #01,Region 9,California,Community water system,36,,Monterey,5,4,11
CA2701036,APPLE AVE WS #03,Region 9,California,Community water system,60,,Monterey,2,62,12
CA2702609,SAN SABA WINERY WS,Region 9,California,Transient non-community system,29,,Monterey,2,1,6
