PWS ID,PWS Name,PWS Type,Owner Type
CA4900925,SEBASTIANI VINEYARDS,Non-Transient non-community system,Private
CA4700663,"WEED GOLF CLUB, INC.",Transient non-community system,Private
CA4200972,PEAKE RANCH,Transient non-community system,Private
CA2300953,BOONVILLE HOTEL,Transient non-community system,Private
CA2300954,OFFSTREET STUDIOS,Transient non-community system,Private
CA4600066,THE LURE,Transient non-community system,Private
CA3303090,MISSION CREEK PRESERVE,Transient non-community system,Private
CA5200540,REEDS CREEK SCHOOL,Non-Transient non-community system,Local government
CA0300088,BLACK CHASM CAVERN,Transient non-community system,Private
CA4901143,SENECA FAMILY OF AGENCIES,Non-Transient non-community system,Private
CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,Community water system,Local government
CA4210011,SANTA MARIA WATER DEPARTMENT,Community water system,Local government
CA1503669,NORTH KRANENBURG WS,Community water system,Private
CA5301002,LEWISTON COMMUNITY SERVICES DISTRICT,Community water system,Private
CA4300839,SAN MARTIN LIONS CLUB,Transient non-community system,Private
CA3710014,"OCEANSIDE, CITY OF",Community water system,Local government
CA3200123,BOURBON & WATER CO,Transient non-community system,Private
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,Community water system,Private
CA1500478,"VALLEY ESTATES POA, INC.",Community water system,Private
CA3600597,PALI OVERNIGHT ADVENTURES,Non-Transient non-community system,Private
CA4410013,SCOTTS VALLEY WATER DISTRICT,Community water system,Local government
CA1000454,VIKING RV PARK,Transient non-community system,Private
CA2100519,ESTERO MUTUAL,Community water system,Private
CA1700596,BLUE LAKES VILLAGE,Community water system,Private
CA2701498,HARBOR VIEW WA,Community water system,Private
CA2701820,CORDA RD WS,Community water system,Private
CA0900603,ECHO PEAK WATER ASSOCIATION,Transient non-community system,Private
CA0706049,ALOHA CLUB,Transient non-community system,Private
CA2701742,CALIFORNIA ORCHARD WS,Community water system,Private
CA2701403,PINE ST WS #01,Community water system,Private
CA2701036,APPLE AVE WS #03,Community water system,Private
CA2702609,SAN SABA WINERY WS,Transient non-community system,Private
CA2701630,PRUNEDALE CHEVRON WS,Transient non-community system,Private
CA2700998,BUD ANTLE MARINA WS,Non-Transient non-community system,Private
CA5000516,COVENANT GROVE CHURCH,Transient non-community system,Private
CA5000346,NINO'S PLACE WATER SYSTEM,Transient non-community system,Private
CA0900623,TAHOE TRAVEL INN,Transient non-community system,Private
CA0900553,BEVERLY LODGE,Transient non-community system,Private
CA0900535,PINEWOOD INN,Transient non-community system,Private
CA5000372,STORER TRANSPORTATION,Non-Transient non-community system,Private
CA4901419,J. RICKARDS WINERY,Transient non-community system,Private
CA5500115,SUGAR PINE RV RESORT,Community water system,Private
CA1010007,CITY OF FRESNO,Community water system,Local government
CA1910154,CITY OF SOUTH PASADENA,Community water system,Local government
CA2300629,POMO CAMPGROUND,Transient non-community system,Private
CA2300625,INN AT SCHOOLHOUSE CREEK,Transient non-community system,Private
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,Community water system,Private
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,Community water system,Local government
CA5500141,CAMP TAWONGA,Transient non-community system,Private
CA4600018,SIERRAVILLE P.U.D.,Community water system,Local government
CA1200710,VIEW CREST LODGE,Transient non-community system,Private
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,Non-Transient non-community system,Public/Private
CA1000053,LANARE COMMUNITY SERVICES DIST,Community water system,Private
CA0910019,LAKESIDE PARK ASSOCIATION,Community water system,Private
CA5000101,CHATOM SCHOOL (EH),Non-Transient non-community system,Local government
CA0900562,HEATHER LAKE ROAD TRACT,Transient non-community system,Private
CA0706055,TUGS,Transient non-community system,Private
CA0707519,DUTCH SLOUGH WATER WORKS,Community water system,Private
CA0707597,SANDY POINT MOBILE HOME PARK,Community water system,Private
CA5000502,RESENDIZ FRUIT BARN,Transient non-community system,Private
CA5000368,MABLE AVE BAPTIST CHURCH,Transient non-community system,Private
CA1000282,SCE/CAMP EDISON-SHAVER,Transient non-community system,Private
CA2000966,SIERRA PINES CHURCH,Transient non-community system,Private
CA5400660,LAKE SUCCESS MOBILE LODGE,Community water system,Private
CA1000490,LOS GATOS TOMATO PRODUCTS,Non-Transient non-community system,Private
CA2800297,MAXVILLE LAKE WINERY,Transient non-community system,Private
CA0610002,CITY OF COLUSA,Community water system,Local government
CA3103283,"ROLLINS LAKE RESORT, LONG RAVINE",Transient non-community system,Private
