Vetted_address,PWSID,geometry,GEOID,NAME,Race.estimate.total,B02001_001M,Race.white.alone,B02001_002M,Race.black.alone,B02001_003M,Race.native.alone,B02001_004M,Race.asian.alone,B02001_005M,Race.PI.alone,B02001_006M,Race.someother.alone,B02001_007M,Race.twoplus,B02001_008M,Median.hh.income,B19013_001M,Tenure.estimate.total,B25003_001M,Tenure.owner,B25003_002M,Tenure.renter,B25003_003M
19021 Circle View Dr. Pinoeer CA 95666,CA0310015,"c(-120.5243563, 38.4664148)",06005000102,"Census Tract 1.02, Amador County, California",1713,349,1573,307,5,9,16,24,25,31,0,13,8,14,86,89,53250,14270,649,101,506,83,143,77
5545 THREE OAKS DRIVE IONE CA 95640,CA0310020,"c(-120.9189396, 38.2956688)",06005000304,"Census Tract 3.04, Amador County, California",4536,640,3946,546,7,14,9,33,23,38,0,13,224,232,327,192,78305,9558,1507,212,1182,214,325,91
9420 Putney Dr. Durham CCA 95938,CA0400066,"c(-121.8024984, 39.6469927)",06007001500,"Census Tract 15, Butte County, California",6073,1081,5293,1069,204,239,0,19,279,180,0,19,125,169,172,141,102692,37856,1944,288,1383,263,561,195
4541 Wilder Drive CHICO CA 95928,CA0400091,"c(-121.6916884, 39.778231)",06007001602,"Census Tract 16.02, Butte County, California",3310,485,3088,493,30,47,0,13,87,63,0,13,55,68,50,51,97429,28807,1300,203,1124,210,176,106
316 Walnut Tree Dr. Colusa CA 95932,CA0600011,"c(-122.0149495, 39.1905156)",06011000200,"Census Tract 2, Colusa County, California",4914,449,4102,387,125,86,92,63,64,64,9,15,106,108,416,337,44903,20340,1882,164,1248,175,634,115
6061 Lone Tree Way Brentwood CA 94513,CA0706108,"c(-121.7401173, 37.9601728)",06013303209,"Census Tract 3032.09, Contra Costa County, California",5953,968,2187,454,642,300,41,46,1631,538,24,38,1066,795,362,252,138161,30959,1573,309,1256,332,317,124
50 Birch St. Brentwood 94513,CA0707557,"c(-121.6900834, 37.931503)",06013303107,"Census Tract 3031.07, Contra Costa County, California",7022,904,3574,460,1416,861,162,110,618,311,117,149,727,395,408,236,97424,15667,2086,255,1316,268,770,197
83 Solano Ave. Pittsburg CA 94565,CA0707558,"c(-121.9400449, 38.0288431)",06013314103,"Census Tract 3141.03, Contra Costa County, California",5167,673,1494,408,683,234,7,11,717,241,0,19,1852,611,414,236,62235,10232,1415,134,585,108,830,129
3049 W Willow Rd. Bethel Island CA 94511,CA0707602,"c(-121.6388494, 38.0460163)",06013301000,"Census Tract 3010, Contra Costa County, California",5265,792,3890,723,484,275,0,19,209,111,0,19,426,267,256,131,78500,21616,1834,283,1346,199,488,223
"4100 CA-169, Klamath CA 95548",CA0800613,"c(-123.990691, 41.5191284)",06015000203,"Census Tract 2.03, Del Norte County, California",1123,154,637,111,17,12,342,106,1,3,0,13,56,52,70,39,38092,7703,439,80,334,80,105,28
3800 NORTH SHINGLE RD SHINGLE SPRINGS CA 95682,CA0900108,"c(-120.9328381, 38.6659207)",06017030812,"Census Tract 308.12, El Dorado County, California",6094,992,5543,1003,0,19,0,19,103,70,0,19,62,80,386,224,74448,14383,2305,291,1528,205,777,189
6280 CA-49 Lotus CA 95651,CA0900211,"c(-120.942073, 38.8263433)",06017030606,"Census Tract 306.06, El Dorado County, California",4681,957,4345,897,28,48,32,41,8,15,0,13,190,240,78,54,74349,17976,1817,379,1744,388,73,59
2659 Lake Tahoe Blvd. South Lake Tahoe CA 96150,CA0900539,"c(-119.982951, 38.9281623)",06017030302,"Census Tract 303.02, El Dorado County, California",2684,478,2466,483,36,43,16,24,63,90,0,13,2,5,101,129,51434,27345,1282,266,419,123,863,268
947 Park Ave. South Lake Tahoe CA 96150,CA0900548,"c(-119.9462955, 38.9565948)",06017031601,"Census Tract 316.01, El Dorado County, California",1519,451,1180,390,0,13,0,13,118,117,0,13,183,164,38,45,39231,16903,698,165,84,61,614,143
2187 LAKE TAHOE BLVD SOUTH LAKE TAHOE CA 96150,CA0900555,"c(-119.9984829, 38.9176564)",06017030404,"Census Tract 304.04, El Dorado County, California",2244,604,1887,541,21,30,0,13,60,70,0,13,78,112,198,137,67339,19345,890,186,547,183,343,126
3876 Lake Tahoe Blvd. South Lake Tahoe CA 96150,CA0900579,"c(-119.9490061, 38.9520364)",06017031601,"Census Tract 316.01, El Dorado County, California",1519,451,1180,390,0,13,0,13,118,117,0,13,183,164,38,45,39231,16903,698,165,84,61,614,143
3901 PIONEER TRAIL SOUTH LAKE TAHOE CA 96150,CA0900581,"c(-119.9481026, 38.9524397)",06017031601,"Census Tract 316.01, El Dorado County, California",1519,451,1180,390,0,13,0,13,118,117,0,13,183,164,38,45,39231,16903,698,165,84,61,614,143
3520 LAKE TAHOE BLVD SOUTH LAKE TAHOE CA 96150,CA0900586,"c(-119.9629645, 38.9460944)",06017030201,"Census Tract 302.01, El Dorado County, California",2979,549,2500,498,13,22,32,38,115,106,0,13,112,99,207,160,59702,13026,1075,181,482,143,593,138
2333 Eloise Ave. South Lake Tahoe CA 96150,CA0900636,"c(-119.9947609, 38.9217982)",06017030403,"Census Tract 304.03, El Dorado County, California",1369,280,1285,271,0,13,0,13,84,87,0,13,0,13,0,13,86500,52930,634,165,523,163,111,58
1021 AL TAHOE BLVD SO LAKE TAHOE CA 96150,CA0900646,"c(-119.9770796, 38.9346553)",06017030201,"Census Tract 302.01, El Dorado County, California",2979,549,2500,498,13,22,32,38,115,106,0,13,112,99,207,160,59702,13026,1075,181,482,143,593,138
783 Emerald Bay Rd. South Lake Tahoe CA 96150,CA0900655,"c(-120.0115663, 38.91842)",06017030404,"Census Tract 304.04, El Dorado County, California",2244,604,1887,541,21,30,0,13,60,70,0,13,78,112,198,137,67339,19345,890,186,547,183,343,126
1096 Herbert Ave. South Lake Tahoe 96150,CA0900666,"c(-119.9609996, 38.9438018)",06017030201,"Census Tract 302.01, El Dorado County, California",2979,549,2500,498,13,22,32,38,115,106,0,13,112,99,207,160,59702,13026,1075,181,482,143,593,138
3870 PIONEER TRAIL SOUTH LAKE TAHOE CA 96150,CA0900673,"c(-119.9473572, 38.950994)",06017031602,"Census Tract 316.02, El Dorado County, California",2102,563,1428,477,4,4,0,13,557,317,0,13,13,17,100,80,47695,32670,797,220,348,184,449,124
3101 Center Street PLACERVILLE CA 95667,CA0910010,"c(-120.8026684, 38.728686)",06017031200,"Census Tract 312, El Dorado County, California",5278,703,4915,676,82,54,0,19,79,54,0,19,17,22,185,137,62917,9506,1869,201,1529,232,340,136
3095 N GREENWOOD AVE SANGER CA 93657,CA1000112,"c(-119.5666582, 36.7803705)",06019005916,"Census Tract 59.16, Fresno County, California",2590,350,1780,378,1,3,24,36,556,117,0,13,160,190,69,73,123194,34924,786,85,735,90,51,40
10950 W MCKINLEY FRESNO CA 93722,CA1000207,"c(-119.9878512, 36.764918)",06019004100,"Census Tract 41, Fresno County, California",3349,712,2026,398,85,95,146,161,338,217,0,13,351,239,403,499,54390,12515,899,137,520,107,379,118
11470 W CHURCH AVE FRESNO CA 93706,CA1000248,"c(-119.9963302, 36.7136471)",06019003900,"Census Tract 39, Fresno County, California",6133,1014,3597,787,61,66,0,19,0,19,44,53,1871,991,560,546,61731,17671,1604,166,851,188,753,152
3530 S CHERRY FRESNO CA 93706,CA1000276,"c(-119.7808967, 36.6826057)",06019001800,"Census Tract 18, Fresno County, California",4733,511,3022,422,19,20,8,11,113,88,0,13,767,299,804,360,66989,11030,1299,141,711,94,588,149
130 E LINCOLN FRESNO CA 93706,CA1000285,"c(-119.7887666, 36.6491863)",06019001800,"Census Tract 18, Fresno County, California",4733,511,3022,422,19,20,8,11,113,88,0,13,767,299,804,360,66989,11030,1299,141,711,94,588,149
2140 E. Clubhouse Drive FRESNO CA 93730,CA1000496,"c(-119.743916, 36.9062387)",06019005503,"Census Tract 55.03, Fresno County, California",5984,860,3901,629,96,94,44,67,1427,590,0,19,38,46,478,397,118607,48402,2369,299,1729,262,640,213
2797 S ORANGE FRESNO CA 93725,CA1000512,"c(-119.7612427, 36.6981991)",06019001500,"Census Tract 15, Fresno County, California",2337,381,1424,275,39,29,0,13,226,220,0,13,507,199,141,126,44344,5855,627,88,356,80,271,73
7064 E. Belmont FRESNO CA 93727,CA1000624,"c(-119.6627278, 36.7507075)",06019005904,"Census Tract 59.04, Fresno County, California",6403,656,3492,567,120,102,21,42,1775,430,0,19,513,310,482,325,94253,11709,1895,228,1644,246,251,111
6639 Parkway Drive FRESNO CA 93722,CA1000646,"c(-119.9188075, 36.8318523)",06019004218,"Census Tract 42.18, Fresno County, California",7767,1213,3677,827,116,120,160,191,1772,940,59,82,1268,756,715,493,89775,14493,1853,171,1650,152,203,136
7660 MYRTLE AVE EUREKA CA 90274,CA1200698,"c(-124.0810148, 40.8113068)",06023000900,"Census Tract 9, Humboldt County, California",5325,548,4484,497,53,50,51,44,111,70,0,19,120,79,506,189,64625,11442,2240,215,1700,215,540,105
1323 Shell Canyon Rd. Ocotillo CA 92259,CA1300611,"c(-116.003174, 32.7488953)",06025012301,"Census Tract 123.01, Imperial County, California",5018,499,883,215,927,161,72,37,95,77,18,19,2610,350,413,172,41098,9571,363,101,280,71,83,62
99620 Tripoli Dr. Mecca CA 92254,CA1310011,"c(-115.9285523, 33.5128927)",06065045612,"Census Tract 456.12, Riverside County, California",3383,1030,593,401,0,13,0,13,0,13,0,13,2338,761,452,587,26028,5080,1273,320,1168,324,105,82
1700 E. Carr Road CALEXICO CA 92231,CA1310017,"c(-115.3822628, 32.6798799)",06025011903,"Census Tract 119.03, Imperial County, California",5536,1464,3551,644,48,66,17,27,72,61,0,19,655,518,1193,1305,72639,30654,1086,277,857,290,229,122
15 Wedding Ln. Bakersfield CA 93315,CA1500508,"c(-119.0814238, 35.3827401)",06029000507,"Census Tract 5.07, Kern County, California",3588,556,2765,392,1,9,43,35,116,105,0,13,430,200,233,274,72043,11466,1260,162,1104,156,156,90
158 WHITE RIVER ROAD GLENNVILLE CA 93226,CA1502163,"c(-118.7056334, 35.7300559)",06029005208,"Census Tract 52.08, Kern County, California",2585,505,2237,431,4,7,16,22,0,13,0,13,146,233,182,194,32123,23243,1327,240,1030,238,297,141
1262 ROSAMOND BLVD ROSAMOND CA 93560,CA1502247,"c(-118.1543956, 34.8635235)",06029005804,"Census Tract 58.04, Kern County, California",6115,976,3460,750,1315,762,0,19,92,93,0,19,971,643,277,186,47571,12550,1989,310,1113,280,876,257
29700 WOODFORD ROAD KEENE CA 93531,CA1502664,"c(-118.5525891, 35.2127399)",06029006004,"Census Tract 60.04, Kern County, California",1253,236,1089,202,1,2,0,13,25,28,0,13,41,29,97,86,51071,9642,672,119,550,111,122,57
10032 Bloemfontein Ct TEHACHAPI CA 93561,CA1502724,"c(-118.3245419, 35.1712164)",06029006004,"Census Tract 60.04, Kern County, California",1253,236,1089,202,1,2,0,13,25,28,0,13,41,29,97,86,51071,9642,672,119,550,111,122,57
4000 RIO DEL NORTE STREET BAKERSFIELD CA 93308,CA1510041,"c(-119.0315815, 35.442011)",06029000104,"Census Tract 1.04, Kern County, California",1327,500,944,348,0,13,0,13,383,369,0,13,0,13,0,13,49167,16134,410,116,109,83,301,133
15783 18TH AVENUE LEMOORE CA 93245,CA1600008,"c(-119.7803765, 36.2434949)",06031001601,"Census Tract 16.01, Kings County, California",4418,704,2009,475,26,31,840,175,43,54,0,13,1292,632,208,194,49352,13578,1202,258,418,116,784,267
9301 Lacey Blvd. Hanford CA 93230,CA1600296,"c(-119.6239274, 36.326158)",06031000800,"Census Tract 8, Kings County, California",5287,664,3809,592,190,159,38,31,99,92,0,19,417,243,734,453,54122,12212,1511,149,921,130,590,141
14564 Emerford Rd COBB CA 95461,CA1700501,"c(-122.7252987, 38.8453987)",06033001102,"Census Tract 11.02, Lake County, California",1297,485,1238,471,1,2,0,13,0,13,0,13,57,82,1,2,56099,20450,581,183,443,175,138,81
8508 PARADISE LAGOON DR. LUCERNE CA 95458,CA1700516,"c(-122.7529401, 39.0417948)",06033000602,"Census Tract 6.02, Lake County, California",2024,435,1729,393,30,37,0,13,166,184,0,13,18,32,81,61,56184,24239,842,158,592,141,250,82
15985 Bottle Rock Road COBB CA 95426,CA1700526,"c(-122.7304675, 38.8295456)",06033001102,"Census Tract 11.02, Lake County, California",1297,485,1238,471,1,2,0,13,0,13,0,13,57,82,1,2,56099,20450,581,183,443,175,138,81
15761 BOTTLE ROCK ROAD COBB CA 95426,CA1700530,"c(-122.735464, 38.831842)",06033001102,"Census Tract 11.02, Lake County, California",1297,485,1238,471,1,2,0,13,0,13,0,13,57,82,1,2,56099,20450,581,183,443,175,138,81
16320 High Road COBB CA 95426,CA1700542,"c(-122.7212036, 38.8229037)",06033001102,"Census Tract 11.02, Lake County, California",1297,485,1238,471,1,2,0,13,0,13,0,13,57,82,1,2,56099,20450,581,183,443,175,138,81
11310 FOREST OAKS DRIVE COBB CA 95453,CA1700544,"c(-122.697322, 38.8619251)",06033001101,"Census Tract 11.01, Lake County, California",1459,288,1383,287,17,28,0,13,0,13,0,13,20,31,39,32,56287,8546,720,154,640,160,80,44
9066 Diamond Dust Trail KELSEYVILLE CA 95451,CA1700552,"c(-122.7521131, 38.9060608)",06033001101,"Census Tract 11.01, Lake County, California",1459,288,1383,287,17,28,0,13,0,13,0,13,20,31,39,32,56287,8546,720,154,640,160,80,44
9564 HWY. 175 KELSEYVILLE CA 95451,CA1700563,"c(-122.7290559, 38.8872941)",06033001101,"Census Tract 11.01, Lake County, California",1459,288,1383,287,17,28,0,13,0,13,0,13,20,31,39,32,56287,8546,720,154,640,160,80,44
11270 Gifford Springs Rd. Lakeport CA 95426,CA1700574,"c(-122.6972017, 38.8169649)",06033001302,"Census Tract 13.02, Lake County, California",3547,619,3102,661,31,46,4,10,15,29,0,13,185,156,210,171,55000,28092,1532,224,966,219,566,199
16535 DAM ROAD CLEARLAKE CA 95422,CA1700581,"c(-122.6036555, 38.9233347)",06033000702,"Census Tract 7.02, Lake County, California",4608,663,2431,450,0,13,280,296,7,16,0,13,1307,665,583,485,38427,5556,1406,170,948,189,458,167
100 Tamarack Street HERLONG CA 96113,CA1805009,"c(-120.156427, 40.1431321)",06035040600,"Census Tract 406, Lassen County, California",3305,467,2546,449,364,94,146,93,26,31,3,6,129,71,91,60,58913,15241,960,182,626,146,334,104
9227 Pitkin St. Rosemead CA 91770,CA1900009,"c(-118.0669464, 34.0870872)",06037432202,"Census Tract 4322.02, Los Angeles County, California",4185,506,591,228,18,17,115,157,2688,531,0,13,696,425,77,94,70590,24933,1185,126,702,103,483,116
"12087 LOPEZ CANYON RD, KAGEL CANYON, CA 91342-6063",CA1900122,"c(-118.4043879, 34.2926382)",06037930400,"Census Tract 9304, Los Angeles County, California",1387,219,945,136,113,72,20,19,69,49,5,11,55,49,180,92,102778,51467,384,57,318,51,66,27
49847 Gorman School Road GORMAN CA 93243,CA1900912,"c(-118.8541048, 34.7927235)",06037901209,"Census Tract 9012.09, Los Angeles County, California",1418,202,961,184,53,65,18,19,38,34,0,13,300,163,48,48,72500,13112,478,69,351,74,127,43
5044 COGSWELL ROAD EL MONTE CA 91732,CA1910141,"c(-118.004679, 34.091741)",06037432502,"Census Tract 4325.02, Los Angeles County, California",3969,1118,605,334,0,13,143,228,1780,539,43,71,538,323,860,812,71577,16076,912,132,602,168,310,139
26065 OUTBACK INDUSTRIAL WAY ONEALS CA 93645,CA2000203,"c(-119.7335325, 37.1289582)",06039000110,"Census Tract 1.10, Madera County, California",5084,934,4204,868,81,100,161,115,0,19,0,19,107,89,531,212,72322,3669,1934,310,1819,319,115,72
40093 CA-41 Oakhurst CA 93644,CA2000578,"c(-119.654964, 37.3312208)",06039000104,"Census Tract 1.04, Madera County, California",4179,575,3735,579,0,13,25,35,224,229,0,13,134,136,61,63,61769,7230,1572,174,1256,185,316,126
40094 Indian Springs Rd. Oakhurst CA 93644,CA2000614,"c(-119.6392859, 37.3335418)",06039000104,"Census Tract 1.04, Madera County, California",4179,575,3735,579,0,13,25,35,224,229,0,13,134,136,61,63,61769,7230,1572,174,1256,185,316,126
9988 CA-140 El Portal CA 95318,CA2202048,"c(-119.8489969, 37.6612069)",06043000302,"Census Tract 3.02, Mariposa County, California",2238,328,1868,288,0,13,221,160,15,24,0,13,26,28,108,81,65583,12325,1053,130,866,126,187,93
9010 Curry Village Dr. Yosemite National Park CA 95389,CA2210518,"c(-119.5730339, 37.7385506)",06043000400,"Census Tract 4, Mariposa County, California",1752,454,1406,361,104,118,0,13,60,71,0,13,158,105,24,29,45323,7087,514,181,149,99,365,161
2916 N. MCKEE RD. MERCED CA 95340,CA2400176,"c(-120.4427394, 37.3121453)",06047001200,"Census Tract 12, Merced County, California",5810,840,2991,591,73,71,16,26,510,152,0,19,1739,743,481,276,65997,7926,1779,257,1204,248,575,148
11019 W. EUCALYPTUS AVENUE LIVINGSTON CA 95334,CA2400346,"c(-120.6894097, 37.4034566)",06047000301,"Census Tract 3.01, Merced County, California",5682,858,1325,380,0,19,82,94,1230,359,0,19,2785,786,260,210,52993,7011,1329,177,643,126,686,165
28960 Gonzaga Rd. Santa Nella CA 95322,CA2410306,"c(-121.0157927, 37.0554059)",06047002100,"Census Tract 21, Merced County, California",4214,851,2597,735,8,15,89,128,111,77,20,39,1287,497,102,99,66172,21543,1203,219,716,168,487,160
38787 Dinosaur Point Rd. Hollister CA 95023,CA2410307,"c(-121.2115976, 37.0650473)",06085513500,"Census Tract 5135, Santa Clara County, California",1225,274,967,244,10,15,0,13,173,206,0,13,55,66,20,45,121213,27062,347,54,251,50,96,48
904 Benton Crossing Rd. Crowley Lake CA 93546,CA2600633,"c(-118.8117699, 37.6301631)",06051000101,"Census Tract 1.01, Mono County, California",4039,386,3028,446,13,29,219,134,58,73,0,13,273,292,448,334,68000,15515,1320,236,1117,203,203,109
730 W. Market St. Salinas CA 93901,CA2702624,"c(-121.6702737, 36.6832904)",06053001801,"Census Tract 18.01, Monterey County, California",4257,626,1493,363,285,237,0,13,600,304,4,9,1693,512,182,127,79632,20530,1143,136,737,161,406,125
6303 Montana Rd. San Miguel CA 93451,CA2710706,"c(-120.7375655, 35.7909595)",06079010017,"Census Tract 100.17, San Luis Obispo County, California",4664,577,3925,703,327,322,63,58,35,32,14,24,211,223,89,75,71812,9060,1498,186,1313,187,185,88
4048 SONOMA HIGHWAY NAPA CA 94559,CA2800538,"c(-122.3324738, 38.255411)",06055201102,"Census Tract 2011.02, Napa County, California",2124,312,1733,298,14,32,70,97,148,62,0,13,112,126,47,43,116154,19301,784,112,605,108,179,67
150 SILVERADO TRAIL NAPA CA 94558,CA2800548,"c(-122.2728878, 38.2890924)",06055200301,"Census Tract 2003.01, Napa County, California",6153,654,4451,682,0,19,48,77,208,106,0,19,1101,453,345,185,80909,12193,1896,189,945,159,951,155
1601 Silverado Trail ST HELENA CA 94574,CA2801045,"c(-122.4103178, 38.4892757)",06055201500,"Census Tract 2015, Napa County, California",1899,349,1628,318,2,6,5,9,32,25,0,13,213,120,19,22,111766,14517,741,141,533,93,208,91
12515 COMBIE RD AUBURN CA 95603,CA2900540,"c(-121.0625332, 39.0213649)",06057000106,"Census Tract 1.06, Nevada County, California",1934,477,1898,479,0,13,0,13,21,35,0,13,0,13,15,25,88182,23418,642,194,615,188,27,35
17530 Lake Vera-Purdon Rd NEVADA CITY CA 95959,CA2902376,"c(-121.0342651, 39.3015087)",06057000801,"Census Tract 8.01, Nevada County, California",5659,631,5111,576,44,29,0,19,168,137,0,19,71,75,265,130,66875,33362,2162,275,1726,247,436,193
12800 Interstate 80 TRUCKEE CA 96161,CA2905004,"c(-120.131341, 39.3620534)",06057001205,"Census Tract 12.05, Nevada County, California",5214,561,5047,543,0,19,11,17,88,98,0,19,0,19,68,66,109063,6377,1773,208,1606,210,167,68
13118 SARGENT JACOBS DRIVE NEVADA CITY CA 95959,CA2910007,"c(-120.9089407, 39.2639831)",06057000701,"Census Tract 7.01, Nevada County, California",7257,754,6757,696,0,19,117,88,20,32,0,19,14,31,349,179,83250,16120,2896,241,2509,271,387,131
28436 Airoso St. Ladera Ranch CA 92694,CA3000852,"c(-117.596468, 33.5470406)",06059032066,"Census Tract 320.66, Orange County, California",5448,797,3896,775,111,143,0,19,801,612,0,19,25,40,615,388,147742,33022,2010,222,1462,218,548,130
35005 Beach Rd. Dana Point CA 92624,CA3010055,"c(-117.6612732, 33.4514982)",06059042201,"Census Tract 422.01, Orange County, California",5014,855,4043,727,70,70,0,19,89,79,23,36,504,394,285,241,92092,15498,2148,260,1521,230,627,202
500 CAMERON STREET PLACENTIA CA 92870,CA3010070,"c(-117.8693749, 33.8682905)",06059011722,"Census Tract 117.22, Orange County, California",2274,326,1332,256,75,94,21,30,378,161,0,13,221,111,247,180,55909,17450,1086,142,650,145,436,110
740 Timberland Ln. Tahoe City CA 96145,CA3100029,"c(-120.165335, 39.1296325)",06061022100,"Census Tract 221, Placer County, California",815,356,733,357,0,13,22,34,39,55,0,13,0,13,21,30,85809,41952,309,97,285,91,24,32
8401 Boulder Creek Pl. Penryn CA 95663,CA3103257,"c(-121.1667594, 38.833701)",06061020608,"Census Tract 206.08, Placer County, California",4272,731,3279,565,99,103,73,90,132,182,16,24,3,7,670,414,171200,30731,1452,212,1232,199,220,140
1588 LISA DRIVE NEWCASTLE CA 95658,CA3110033,"c(-121.133091, 38.8596134)",06061020502,"Census Tract 205.02, Placer County, California",4662,499,4274,500,40,42,0,13,58,42,63,74,99,94,128,105,110385,16378,1762,186,1615,188,147,69
179 Rogers Avenue QUINCY CA 95971,CA3210008,"c(-120.9106894, 39.9381114)",06063000100,"Census Tract 1, Plumas County, California",5509,643,4619,570,274,215,67,54,37,33,0,19,249,215,263,160,60833,12800,1996,195,1072,181,924,217
81450 Palo Verde Dr. N Indio CA 92201,CA3301046,"c(-116.243958, 33.7212834)",06065045217,"Census Tract 452.17, Riverside County, California",7986,1313,3410,898,581,706,0,19,40,54,0,19,3217,763,738,698,47429,8677,2499,269,2072,286,427,164
82225 AIRPORT BLVD THERMAL CA 92274,CA3301153,"c(-116.2311538, 33.640992)",06065045615,"Census Tract 456.15, Riverside County, California",2636,750,1202,596,0,13,0,13,0,13,0,13,1175,415,259,346,33542,19871,1048,282,891,284,157,83
