"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"1","CA1200751","CHIMNEY TREE","Humboldt","Transient non-community system",NA,NA,NA
"2","CA1502745","SYCAMORE CANYON GOLF COURSE","Kern","Transient non-community system",NA,NA,NA
"3","CA2400222","9-IRON WATER SYSTEM","Merced","Transient non-community system",NA,NA,NA
"4","CA3700952","CROCKER FAMILY TRUST","San Diego","Transient non-community system",NA,NA,NA
"5","CA3601178","THAT CREATIVE CAFE","San Bernardino","Transient non-community system",NA,NA,NA
"6","CA3710308","ANZA BORREGO SP - LUCKY 5","San Diego","Transient non-community system",NA,NA,NA
"7","CA0900670","MARJORIE STREET APTS.","El Dorado","Community water system",NA,NA,NA
"8","CA1300680","ORMAT NEVADA, INC","Imperial","Non-Transient non-community system",NA,NA,NA
"9","CA1500408","CWS COUNTRYWOOD SYSTEM","Kern","Community water system",NA,NA,NA
"10","CA3301132","Diamond Valley Market Water","Riverside","Transient non-community system",NA,NA,NA
"11","CA5200509","SPORTSMAN MOTEL","Tehama","Transient non-community system",NA,NA,NA
"12","CA3600096","Steve Speisser Apts (Dunes)","San Bernardino","Non-Transient non-community system",NA,NA,NA
"13","CA3600610","BAGDAD CAFE, ANDREA PRUITT","San Bernardino","Transient non-community system",NA,NA,NA
"14","CA2702624","UNI-KOOL WS","Monterey","Non-Transient non-community system",NA,NA,NA
"15","CA2702728","ROCKY POINT RESTAURANT WS *CLOSED*","Monterey","Transient non-community system",NA,NA,NA
"16","CA2600732","POKONOBE LODGE RES./STORE","Mono","Transient non-community system",NA,NA,NA
"17","CA2600754","CROWLEY LAKE TRAILER PARK","Mono","Transient non-community system",NA,NA,NA
"18","CA5000570","VALLEY PETERBILT","Stanislaus","Non-Transient non-community system",NA,NA,NA
"19","CA5200057","SIERRA PACIFIC INDUSTRIES","Tehama","Non-Transient non-community system",NA,NA,NA
"20","CA1502163","LINNS VALLEY SCHOOL","Kern","Non-Transient non-community system",NA,NA,NA
"21","CA2600582","YMCA CAMP OF LOS ANGELES #1","Mono","Transient non-community system",NA,NA,NA
"22","CA3603610","CRYSTAL LAKE PROP OWNERS","San Bernardino","Community water system",NA,NA,NA
"23","CA3610127","San Bernardino CSA No. 70, Zone EV-1","San Bernardino","Non-Transient non-community system",NA,NA,NA
"24","CA4200740","CHANNEL ISLAND ADVENTURERS","Santa Barbara","Transient non-community system",NA,NA,NA
"25","CA4410015","LOMPICO COUNTY WATER DISTRICT","Santa Cruz","Community water system",NA,NA,NA
"26","CA2800016","CULINARY INSTITUTE OF AMERICA","Napa","Non-Transient non-community system",NA,NA,NA
"27","CA1000612","CLOVIS CASTLE","Fresno","Transient non-community system",NA,NA,NA
"28","CA3010070","GOLDEN STATE WC - YORBA LINDA","Orange","Community water system",NA,NA,NA
"29","CA3705069","COUNTY LINE BBQ AND CAFE","San Diego","Transient non-community system",NA,NA,NA
"30","CA3400445","BING S MARKET","Sacramento","Transient non-community system",NA,NA,NA
"31","CA0900420","CRYSTAL BASIN MOUNTAIN RESORT","El Dorado","Transient non-community system",NA,NA,NA
"32","CA2702762","LONOAK RD WS #02","Monterey","Community water system",NA,NA,NA
"33","CA1000464","S&K MINI MART","Fresno","Transient non-community system",NA,NA,NA
"34","CA3301141","Aguanga Market Water System","Riverside","Transient non-community system",NA,NA,NA
"35","CA1100709","AFTON STORE","Glenn","Transient non-community system",NA,NA,NA
"36","CA4100604","NESTLDOWN RANCH","San Mateo","Transient non-community system",NA,NA,NA
"37","CA5403203","SMALL STEPS CHILD CARE CENTER","Tulare","Non-Transient non-community system",NA,NA,NA
"38","CA2202048","INDIAN FLAT R V PARK AND CAMPGROUND","Mariposa","Transient non-community system",NA,NA,NA
"39","CA0400175","NORFIELD INDUSTRIES","Butte","Non-Transient non-community system",NA,NA,NA
"40","CA2410307","CDPR-DINOSAUR POINT","Merced","Transient non-community system",NA,NA,NA
"41","CA2410306","CDPR-MEDEIROS","Merced","Transient non-community system",NA,NA,NA
"42","CA1700737","ONENESS INSTITUTE","Lake","Transient non-community system",NA,NA,NA
"43","CA4100532","CUTTER SCOUT RESERVATION","San Mateo","Transient non-community system",NA,NA,NA
"44","CA2910007","NEVADA ID - CASCADE SHORES","Nevada","Community water system",NA,NA,NA
"45","CA3500806","BLOSSOM HILL WINERY","San Benito","Non-Transient non-community system",NA,NA,NA
"46","CA5410054","TULARE CITY WWTP","Tulare","Transient non-community system",NA,NA,NA
"47","CA3705067","MOM S PIE HOUSE","San Diego","Transient non-community system",NA,NA,NA
"48","CA5602107","EVERGREEN TRAILER PARK","Ventura","Community water system",NA,NA,NA
"49","CA4500001","SHASTA CO CSA # 25 KESWICK","Shasta","Community water system",NA,NA,NA
"50","CA5700768","ALFOREX SEEDS LLC","Yolo","Non-Transient non-community system",NA,NA,NA
"51","CA5400638","SIERRA SCHOOL","Tulare","Non-Transient non-community system",NA,NA,NA
"52","CA4500084","MCARTHUR MOBILEHOME PARK","Shasta","Community water system",NA,NA,NA
"53","CA4500091","BIG BEND MOBILE ESTATES","Shasta","Transient non-community system",NA,NA,NA
"54","CA5103007","HAPPY TIME","Sutter","Transient non-community system",NA,NA,NA
"55","CA5700752","K 76 - RD 102","Yolo","Transient non-community system",NA,NA,NA
"56","CA3700935","WILDERNESS GARDENS PRESERVE","San Diego","Transient non-community system",NA,NA,NA
"57","CA3601174","DESERT STAR RANCH","San Bernardino","Transient non-community system",NA,NA,NA
"58","CA2700613","LAGUNITA SCHOOL WS","Monterey","Non-Transient non-community system",NA,NA,NA
"59","CA5700727","CORNER STORE","Yolo","Transient non-community system",NA,NA,NA
"60","CA1000156","BSA/CAMP OLJATO","Fresno","Transient non-community system",NA,NA,NA
"61","CA5500190","WAGNER TRACT IMPROVEMENT ASSOC","Tuolumne","Transient non-community system",NA,NA,NA
"62","CA5700741","UNITED TRAVEL PLAZA","Yolo","Transient non-community system",NA,NA,NA
"63","CA2000503","BATTERSON WORK CENTER (WATER)","Madera","Transient non-community system",NA,NA,NA
"64","CA1600255","OVERLAND STOCKYARD","Kings","Transient non-community system",NA,NA,NA
"65","CA1600258","KINGS COUNTRY CLUB","Kings","Transient non-community system",NA,NA,NA
"66","CA1600290","LA FUENTE MARKET II(WA)","Kings","Transient non-community system",NA,NA,NA
"67","CA2000377","P.A.M - OFFICE","Madera","Non-Transient non-community system",NA,NA,NA
"68","CA1600601","KWRA MRF","Kings","Non-Transient non-community system",NA,NA,NA
"69","CA0706106","LITTORNO & PANFILI WATER SYSTEM","Contra Costa","Transient non-community system",NA,NA,NA
"70","CA0706105","D ANNA YACHT CENTER","Contra Costa","Transient non-community system",NA,NA,NA
"71","CA0708004","BRENTWOOD CREEK FARM","Contra Costa","Non-Transient non-community system",NA,NA,NA
"72","CA0708006","CECCHINI WATER","Contra Costa","Transient non-community system",NA,NA,NA
"73","CA0701988","HOLY CROSS CEMETERY","Contra Costa","Transient non-community system",NA,NA,NA
"74","CA0702185","SUES SWIM SCHOOL","Contra Costa","Transient non-community system",NA,NA,NA
"75","CA0706007","VILLA DE GUADALUPE","Contra Costa","Community water system",NA,NA,NA
"76","CA3901395","WOODBRIDGE COMMUNITY CHURCH","San Joaquin","Transient non-community system",NA,NA,NA
"77","CA3901396","BENETO WATER SYSTEM","San Joaquin","Non-Transient non-community system",NA,NA,NA
"78","CA3900810","JR SIMPLOT CO","San Joaquin","Non-Transient non-community system",NA,NA,NA
"79","CA5800900","OAK RIDGE APARTMENTS","Yuba","Community water system",NA,NA,NA
"80","CA5800902","NAUMES, INC. WELL #9","Yuba","Community water system",NA,NA,NA
"81","CA5800905","ZION S CAMP","Yuba","Transient non-community system",NA,NA,NA
"82","CA5800025","KB PACKING","Yuba","Non-Transient non-community system",NA,NA,NA
"83","CA5800204","STRAWBERRY VALLEY GEN STORE","Yuba","Transient non-community system",NA,NA,NA
"84","CA5800421","NAUMES JUICE PLANT WELL #148","Yuba","Non-Transient non-community system",NA,NA,NA
"85","CA5800534","CAFE COLLAGE","Yuba","Transient non-community system",NA,NA,NA
"86","CA5800907","MOONSHINE CAMPGROUND","Yuba","Transient non-community system",NA,NA,NA
"87","CA5800915","NORCAL LUMBER","Yuba","Non-Transient non-community system",NA,NA,NA
"88","CA0707543","BRENTWOOD MISSIONARY BAPTIST","Contra Costa","Non-Transient non-community system",NA,NA,NA
