Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Vetted_address,GEOID,NAME,Race.estimate.total.x,B02001_001M,Race.white.alone.x,B02001_002M,Race.black.alone.x,B02001_003M,Race.native.alone.x,B02001_004M,Race.asian.alone.x,B02001_005M,Race.PI.alone.x,B02001_006M,Race.someother.alone.x,B02001_007M,Race.twoplus.x,B02001_008M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,AC_PHONE_N,AC_EMAIL,SHAPE_Leng_receiving,SHAPE_Area_receiving,Households.total,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.native.alone.y,Race.PI.alone.y,Race.someother.alone.y,Race.twoplus.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610061,DWP - SUGARLOAF/ERWIN LAKE,C,City,4000,3422,11/27/19,NA,Nov-19,Big Bear Lake DWP - Big Bear System,CA3610044,City,source/storage capacity,Capacity,1,0,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-116.886257,34.246618,Both,NA,NA,No,No,GW,NA,GW,GW,14368,41972 GARSTIN DRIVE BIG BEAR LAKE CA 92315,060710112031,"Block Group 1, Census Tract 112.03, San Bernardino County, California",824,172,795,170,4,9,4,9,0,13,0,13,17,21,4,9,47222,13114,394,82,257,79,137,51,909-866-5050,rlamson@bbldwp.com,65041.0412191,38103983.5403,2304.4268665520176,NA,90.08906359988748,29.55201958743777,5580.877812018166,95.94604686632738,11.245327070322087,107.0620217330836,360.5900842803412,4886.393248880766,2304.4268665520176,1323.614482572185,980.8123839798325
DISTRICT 23 - FRESNO,FRESNO,CA1000496,COPPER RIVER COUNTRY CLUB,NTNC,Private (other),1,125,8/30/2021,NA,Aug-21,CITY OF FRESNO,CA1010007,City,"1,2,3 TCP",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet. Got  more info from regional board staff on April 20 2022",NA,No,No,GW,NA,GW,SW,541990,2140 E. Clubhouse Drive FRESNO CA 93730,060190055032,"Block Group 2, Census Tract 55.03, Fresno County, California",2241,731,956,437,20,34,0,13,1212,589,0,13,11,17,42,45,157800,68528,850,219,746,209,104,94,559-621-5314,BUD.TICKEL@FRESNO.GOV,446458.144162,458896843.477,157502.87281071552,NA,63453.92575886591,34518.32682084753,482370.98307885823,5664.311747631592,831.779678780202,60938.9916806395,44747.082523011595,272216.5648690819,157502.87281071552,74296.02058509437,83206.85222562116
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901035,LODI USD-HENDERSON SCHOOL,NTNC,School,3,200,4/27/20,NA,Apr-20,"LODI, CITY OF",CA3910004,City,"1,2,3-TCP",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.311233,38.100499,Both,NA,NA,No,No,GW,NA,GW,SW,68272,13451 N EXTENSION RD LODI CA 95240,060770041061,"Block Group 1, Census Tract 41.06, San Joaquin County, California",654,238,409,150,0,13,0,13,115,177,0,13,0,13,130,166,74750,28113,215,50,192,56,23,26,209-333-6878,tkahrs@lodi.gov,63065.211156,58646023.1379,21879.08003532677,NA,6783.291185595595,960.7417602871743,63210.91126271025,185.25219151759754,275.76848688247287,4924.44423541042,13126.0941506771,36955.31925233989,21879.08003532677,11248.982925677887,10630.097109648885
LPA39- El Dorado County,EL DORADO,CA0900646,AL TAHOE ELEM/STMS (WATER SYS),NTNC,School,6,1300,9/30/20,Sep.2020,Sep-20,South Tahoe PUD,CA0910002,PUD,"1,2,3-TCP; Nitrate; RTCR; Monitoring & Reporting",Multiple,0,1,1,0,0,DWR grant,Voluntary Consolidation,Physical,Voluntary,NA,-119.9752658,38.9347737,Both,"Shows up twice in excel in 2019 and 2020, issues listed in the 2019 and 2020 listings (but are different, addd all here) listed as none for issues in partnership data. Sep 2020 date retained since it matches partnership data. G",NA,No,No,GW,NA,GW,GW,121124,1021 AL TAHOE BLVD SO LAKE TAHOE CA 96150,060170302011,"Block Group 1, Census Tract 302.01, El Dorado County, California",774,242,686,253,10,21,18,30,0,13,0,13,7,14,53,43,63315,28848,341,112,110,44,231,112,530-543-6521,cstanley@stpud.dst.ca.us,129127.553572,201858011.038,11340.705530708852,NA,1421.7052078147583,194.13635552104364,27181.648762567766,60.49204723837237,38.00183606146031,1555.8865588968781,1411.2202305033563,22500.206526531896,11340.705530708852,5914.074711638347,5426.630819070504
LPA37- Contra Costa County,CONTRA COSTA,CA0707602,BEACON WEST,C,MHP,17,45,1/1/18,Dec.2017,Jan-18,Diablo Water District,CA0710007,County Water District,Arsenic,Quality,0,1,0,0,0,LWS funded,Voluntary Consolidation,Physical,Voluntary,NA,-121.744998,37.960949,Both,NA,NA,No,No,GW,NA,GW,SWP,40144,3049 W Willow Rd. Bethel Island CA 94511,060133010002,"Block Group 2, Census Tract 3010, Contra Costa County, California",991,335,679,272,20,33,0,13,33,51,0,13,236,230,23,35,35721,18375,439,134,369,125,70,65,925-625-3798,dmuelrath@diablowater.org,46764.0933865,66248888.5351,10542.995403573268,NA,2687.6821905504016,2835.623372596203,36267.03542535824,433.8820073218959,646.0048825597322,4198.669365030367,4016.5918796583137,21448.58172764133,10542.995403573268,8002.570450644548,2540.4249529287213
District 19 - Tehachapi,KERN,CA1502724,QUAIL VALLEY WATER DIST-EASTSIDE SYSTEM,C,Water District,28,75,9/1/2018,Aug.2018,Sep-18,QVWD-West & East Combine Water System,CA1503226,Water District,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.3229383,35.17014162,Both,NA,NA,No,No,GW,NA,GW,GW,207,10032 Bloemfontein Ct TEHACHAPI CA 93561,060290060042,"Block Group 2, Census Tract 60.04, Kern County, California",521,185,439,158,1,2,0,13,3,7,0,13,16,18,62,83,44201,5424,277,74,236,67,41,37,661-822-1966,randy@qvwd.org,23924.9205309,30724794.4597,30.515721280672,1357140.7141227964,0.3597512954132791,0.10781098115431631,57.37793180083706,0,0,1.7662465529580724,6.742060027852228,48.40206294345916,30.515721280672,25.961753484800635,4.553967795871366
LPA46 - KINGS COUNTY,KINGS,CA1600296,OLAM SPICES AND VEGETABLES INC,NTNC,Private (other),7,75,5/25/17,NA,May-17,Hanford,CA1610003,City,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.624592,36.326253,Both,NA,NA,No,No,GW,NA,GW,GW,17626,9301 Lacey Blvd. Hanford CA 93230,060310008004,"Block Group 4, Census Tract 8, Kings County, California",500,201,431,197,0,13,8,13,5,8,0,13,24,28,32,33,33304,18229,207,68,87,36,120,62,559-585-2571,jdoyel@cityofhanfordca.com,79167.8097035,47631932.3483,13324.041614062644,NA,1243.2106825130506,2074.6495244256294,39919.34486293965,446.7962106026493,28.14546417436855,3905.241466981317,3218.567791108574,29002.73372313406,13324.041614062644,7333.551732600514,5990.48988146213
LPA46 - KINGS COUNTY,KINGS,CA1600008,CENTRAL UNION ELEMENTARY,NTNC,School,10,320,4/2/2021,NA,Apr-21,Santa Rosa Rancheria water system (Tachi Yokut Tribe),90600148,Tribal,ARSENIC,Quality,0,1,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,http://p2cdn4static.sharpschool.com/UserFiles/Servers/Server_4550549/File/SchoolBoard/Minutes/2020-21/011121%20Minutes%20Packet.pdf,-119.780279,36.243371,Both,In partnership tool data the funding source is listed as private,NA,No,No,GW,NA,GW,NA,NA,15783 18TH AVENUE LEMOORE CA 93245,060310016012,"Block Group 2, Census Tract 16.01, Kings County, California",1767,262,560,190,3,6,785,146,43,54,0,13,349,208,27,25,53882,15865,433,90,203,76,230,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA46 - KINGS COUNTY,KINGS,CA 1600048,KETTLEMAN CITY ELEMENTARY,NTNC,School,12,350,12/31/19,NA,Dec-19,Kettleman City CSD,CA1610009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.9623857,36.0079117,Both,NA,NA,No,No,NA,NA,NA,SW,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559-386-5866,kccsd@att.net,19347.7744347,3997682.53144,1.073427056287062,45244.6462758149,0,0.04015114444307175,3.3383150776988653,0.09531183856878632,0,1.3577955905329433,0.31787784205252495,1.5271786621015389,1.073427056287062,0.22960684402085055,0.8438202122662114
DISTRICT 11 - MERCED,MERCED,CA2400346,LIVINGSTON FARMERS ASSOCIATION WATER SYS,NTNC,Private (other),2,30,1/11/2021,NA,Jan-21,City of livingston,CA2410004,City,ARSENIC,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.68941,37.4034798,Both,Changed system type to NTNC from NP and changed population from zero to 30 to match partnerships tool data compared to what was in the excel data,NA,No,No,GW,NA,GW,GW,14894,11019 W. EUCALYPTUS AVENUE LIVINGSTON CA 95334,060470003013,"Block Group 3, Census Tract 3.01, Merced County, California",3269,780,837,331,0,13,82,94,523,290,0,13,1694,666,133,109,56047,16719,748,155,383,108,365,123,209-394-8044,mabeloe@livingstoncity.com,24391.562493,14713345.8154,2375.1849703983216,NA,2061.2378947003335,0,10016.512850123414,104.75580285829064,1.4569534554678246e-5,4240.930460730753,560.3660006196037,3049.2226766449,2375.1849703983216,1270.8749041569858,1104.3100662413358
