Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610061,DWP - SUGARLOAF/ERWIN LAKE,C,City,4000,3422,11/27/19,NA,Nov-19,Big Bear Lake DWP - Big Bear System,CA3610044,City,source/storage capacity,Capacity,1,0,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-116.886257,34.246618,Both,GW,GW,14368,34.77157360406091,65.22842639593908,69.78155339805825,0.48543689320388345,0,0.48543689320388345,0,28.762135922330096,47222,42.56209638136037,57.437903618639616,65.63222518758376,0.33427629573538037,1.6142454042961627,1.4089134577437454,0.20149746059850634,30.353788684182607,NA
DISTRICT 23 - FRESNO,FRESNO,CA1000496,COPPER RIVER COUNTRY CLUB,NTNC,Private (other),1,125,8/30/2021,NA,Aug-21,CITY OF FRESNO,CA1010007,City,"1,2,3 TCP",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,GW,SW,541990,12.23529411764706,87.76470588235294,37.66175814368585,0.892458723784025,54.08299866131191,0,0,6.202588130298974,157800,52.8287838442273,47.171216155772704,27.085185627075436,6.800447794330319,12.812728259303027,0.46729802597899694,0.14043566180375386,50.015470899927216,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901035,LODI USD-HENDERSON SCHOOL,NTNC,School,3,200,4/27/20,NA,Apr-20,"LODI, CITY OF",CA3910004,City,"1,2,3-TCP",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.311233,38.100499,Both,GW,SW,68272,10.69767441860465,89.30232558139535,50.764525993883794,0,17.584097859327215,0,0,31.65137614678899,74750,48.585667644549666,51.41433235545034,46.27697719558852,1.4052411295124514,10.484183831901055,0.09057327346484889,0.41095513684789575,37.855868099644034,NA
LPA39- El Dorado County,EL DORADO,CA0900646,AL TAHOE ELEM/STMS (WATER SYS),NTNC,School,6,1300,9/30/20,Sep.2020,Sep-20,South Tahoe PUD,CA0910002,PUD,"1,2,3-TCP; Nitrate; RTCR; Monitoring & Reporting",Multiple,0,1,1,0,0,DWR grant,Voluntary Consolidation,Physical,Voluntary,NA,-119.9752658,38.9347737,Both,GW,GW,121124,67.74193548387096,32.25806451612903,57.88113695090439,0,0,2.3255813953488373,0,35.78811369509044,63315,47.85091019580782,52.14908980419217,65.39620759494996,0.6259236038519519,5.230386207376091,0.1207859482393177,0.07725800661849254,25.028566276663216,NA
LPA37- Contra Costa County,CONTRA COSTA,CA0707602,BEACON WEST,C,MHP,17,45,1/1/18,Dec.2017,Jan-18,Diablo Water District,CA0710007,County Water District,Arsenic,Quality,0,1,0,0,0,LWS funded,Voluntary Consolidation,Physical,Voluntary,NA,-121.744998,37.960949,Both,GW,SWP,40144,15.945330296127564,84.05466970387245,68.51664984863774,2.0181634712411705,3.3299697275479314,0,0,23.81432896064581,35721,24.095855643337487,75.90414435666253,45.86482815867695,7.336774640002256,7.397727569665522,0.7987678085862423,1.621307043996392,30.482361455257234,NA
District 19 - Tehachapi,KERN,CA1502724,QUAIL VALLEY WATER DIST-EASTSIDE SYSTEM,C,Water District,28,75,9/1/2018,Aug.2018,Sep-18,QVWD-West & East Combine Water System,CA1503226,Water District,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.3229383,35.17014162,Both,GW,GW,207,14.801444043321299,85.1985559566787,65.06717850287907,0.19193857965451055,0.5758157389635317,0,0,22.264875239923224,44201,14.923349685841284,85.07665031415871,65.37994561492513,0.18789624821008885,0.6269854700619077,0,0,22.09230855234572,44473.492913384944
LPA46 - KINGS COUNTY,KINGS,CA1600296,OLAM SPICES AND VEGETABLES INC,NTNC,Private (other),7,75,5/25/17,NA,May-17,Hanford,CA1610003,City,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.624592,36.326253,Both,GW,GW,17626,57.971014492753625,42.028985507246375,47,0,1,0,0,49.2,33304,44.96000579238333,55.03999420761667,37.05933516823469,4.661310249020423,3.0234173883741744,0.34546038071308416,0.008167284272929502,51.37833429420281,NA
LPA46 - KINGS COUNTY,KINGS,CA1600008,CENTRAL UNION ELEMENTARY,NTNC,School,10,320,4/2/2021,NA,Apr-21,Santa Rosa Rancheria water system (Tachi Yokut Tribe),90600148,Tribal,ARSENIC,Quality,0,1,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,http://p2cdn4static.sharpschool.com/UserFiles/Servers/Server_4550549/File/SchoolBoard/Minutes/2020-21/011121%20Minutes%20Packet.pdf,-119.780279,36.243371,Both,GW,NA,NA,53.11778290993071,46.88221709006928,21.279003961516697,0.1697792869269949,2.43350311262026,37.46462931522354,0,38.143746462931524,53882,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA46 - KINGS COUNTY,KINGS,CA 1600048,KETTLEMAN CITY ELEMENTARY,NTNC,School,12,350,12/31/19,NA,Dec-19,Kettleman City CSD,CA1610009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.9623857,36.0079117,Both,NA,SW,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.60992578153837,21.39007421846164,2.7897327092006803,1.20273681508662,0,0,0,94.24256688511842,42149.71665826478
DISTRICT 11 - MERCED,MERCED,CA2400346,LIVINGSTON FARMERS ASSOCIATION WATER SYS,NTNC,Private (other),2,30,1/11/2021,NA,Jan-21,City of livingston,CA2410004,City,ARSENIC,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.68941,37.4034798,Both,GW,GW,14894,48.79679144385027,51.20320855614974,6.913429183236463,0,15.998776384215358,0,0,75.86417864790455,56047,46.493644916258525,53.506355083741475,6.293080357830318,0,20.578361921371936,4.1876296137347994e-4,0,72.72089061992406,NA
