Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,Vetted_address,GEOID,NAME,Race.estimate.total.x,B03002_001M,Race.white.alone.x,B03002_003M,Race.black.alone.x,B03002_004M,Race.native.alone.x,B03002_005M,Race.asian.alone.x,B03002_006M,Race.PI.alone.x,B03002_007M,Race.hispanicorlatino.x,B03002_012M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,Households.total.x,B11001_001M,SHAPE_Leng_receiving,SHAPE_Area_receiving,Households.total.y,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.hispanicorlatino.y,Race.native.alone.y,Race.PI.alone.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
DISTRICT 24 - TULARE,Tulare,NA,East Porterville,NA,Domestic wells,755,250,NA,NA,Mar-17,"PORTERVILLE, CITY OF",CA5410010,City,NA,Disaster,0,0,0,1,0,"SWRCB, DWR, OES",Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/east_porterville.pdf,NA,NA,OTHER,NA,NA,No,No,1P,Yes,NA,NA,GW,GW,65702,Community water system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178114.606617,56528518.4072,13061.597664843477,NA,1795.1580240958851,136.86204588065016,43332.67768264289,30479.136756891738,440.6156780192936,163.12453859367287,9361.98176501243,13061.597664843477,6369.238510679225,6692.359154164253
DISTRICT 24 - TULARE,TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,C,MWC,28,92,12/10/20,NA,Dec-20,"PORTERVILLE, CITY OF",CA5410010,City,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/BEVERLYGRAND_STORY.PDF,-119.0491854,36.1008075,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,267.3464052,2,NA,NA,1935 N. BEVERLY STREET PORTERVILLE CA 93257,061070035041,"Block Group 1, Census Tract 35.04, Tulare County, California",1541,1028,325,356,0,13,0,13,0,13,0,13,1040,959,74919,71568,312,154,312,154,0,13,312,154,178114.606617,56528518.4072,13061.597664843477,NA,1795.1580240958851,136.86204588065016,43332.67768264289,30479.136756891738,440.6156780192936,163.12453859367287,9361.98176501243,13061.597664843477,6369.238510679225,6692.359154164253
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400332,OXBOW MARINA (SWS),C,MWC,95,200,7/18/17,NA,Jul-17,Cal-Am Isleton,CA3410012,IOU,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/OXBOW_MARINA_MWC.PDF,-121.589959,38.150018,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1581,Community water system,1315.290929,1,NA,NA,100 Oxbow Marina Dr. Isleton CA 95641,060670098001,"Block Group 1, Census Tract 98, Sacramento County, California",850,142,584,118,8,13,6,10,23,22,0,13,209,84,45054,12962,413,59,313,58,100,38,413,59,10668.2976672,2112834.16257,17.525252446862886,806550.7970557178,1.2360462661118508,0.32316380768740977,36.638281959366395,9.687995770104944,0.24237285576555734,0,24.34079374047811,17.525252446862886,13.183139536317011,4.342112910545876
LPA39- El Dorado County,EL DORADO,CA0900655,ROCKWATER APTS.,C,Private (other),24,50,6/28/17,NA,Jun-17,Lukins Brothers Water Company,CA0910007,IOU,PCE,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-120.011217,38.91837,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,3200,Community water system,22.74725413,2,1,NA,783 Emerald Bay Rd. South Lake Tahoe CA 96150,060170304041,"Block Group 1, Census Tract 304.04, El Dorado County, California",887,484,749,403,0,13,0,13,36,45,0,13,67,76,66540,17497,259,103,101,48,158,99,259,103,11304.3311966,2211882.1223,610.7663113093857,NA,50.17259541845618,14.66999089584183,1623.5195824700231,217.99204075243887,0,0,1265.6689484098795,610.7663113093857,341.33201026042167,269.43430104896413
DISTRICT 18 - SONOMA,SONOMA,CA4900786,RANCHO SANTA ROSA MHP,C,MHP,80,175,NA,Aug-16,Aug-16," SANTA ROSA, CITY OF",CA4910009,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.7148542,38.3933998,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,173648,Community water system,25.04393579,2,1,NA,3455 Santa Rosa Avenue SANTA ROSA CA 95407,060971514053,"Block Group 3, Census Tract 1514.05, Sonoma County, California",955,431,503,278,36,54,0,13,0,13,0,13,396,347,67642,33572,283,102,143,73,140,90,283,102,97471.7275708,189298667.7,65834.95494796787,NA,10101.707452514622,4119.183636968578,179812.64823848903,62484.13589822907,960.0272351158733,1006.5073214963415,94387.22817793748,65834.95494796787,35557.2667004517,30277.688247516173
LPA39- El Dorado County,EL DORADO,CA0900539,SUNRAY TAHOE HOTEL,NC,Private (other),3,120,7/20/17,NA,Jul-17,South Tahoe PUD,CA0910002,PUD,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.983058,38.928266,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,121124,Community water system,NA,NA,NA,NA,2659 Lake Tahoe Blvd. South Lake Tahoe CA 96150,060170303021,"Block Group 1, Census Tract 303.02, El Dorado County, California",537,185,395,202,8,9,0,13,63,90,0,13,71,83,44750,22789,218,84,94,46,124,76,218,84,129127.553572,201858011.038,11340.705530708852,NA,1421.7052078147583,170.13635552104364,27181.648762567766,6803.1769756290805,32.83161220494824,21,17775.767452498963,11340.705530708852,5914.074711638347,5426.630819070504
District 10 - Stockton,AMADOR,CA0310015,RABB PARK COMMUNITY SER. DIST.,C,CSD,108,268,1/11/17,NA,Jan-17,Amador Water Agency,CA0300073,Special Act District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.527533,38.452386,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SW,35,Non-Transient non-community system,NA,NA,NA,NA,19021 Circle View Dr. Pinoeer CA 95666,060050001021,"Block Group 1, Census Tract 1.02, Amador County, California",861,299,765,237,0,13,4,8,8,16,0,13,81,90,49063,23291,327,79,247,64,80,50,327,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DISTRICT 02 - LASSEN,PLUMAS,CA3210008,EAST QUINCY SERVICES DISTRICT,C,CSD,771,2572,4/19/19,NA,Apr-19,American valley CSD (formally Quincy CSD),CA3210004,CSD,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9105247,39.9381728,Both,Two CSDs (quincy and easy quincy) dissolved themseves and become one new CSD. Not physical integration I don't think but neither subsummed the other and got new system IDs so I think it qualifies as voluntary consolidation. See: https://www.americanvalleycsd.com/documents/636/Final_Consolidation_Resolution.pdf,NA,No,No,2,Yes,GW,NA,GW,GW,4300,Community water system,1227.811095,2,NA,3,179 Rogers Avenue QUINCY CA 95971,060630001003,"Block Group 3, Census Tract 1, Plumas County, California",502,210,387,183,94,101,0,13,0,13,0,13,21,26,NA,NA,186,83,57,42,129,82,186,83,18158.8646225,7304966.50031,108.0913624412796,NA,0.08805563435464431,14.235638684984176,289.4722241488144,37.270236335222826,8.014014565938346,0,218.55694428910297,108.0913624412796,53.44475605092151,54.64660639035809
NA,SANTA BARBARA,CA4210700,VANDENBERG AIR FORCE BASE,C,Federal,1161,6763,NA,NA,Sep-15,"AMERICAN WATER O&M, LLC - VAFB",CA4210700,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,Sept 2015 awarded american water 50 year contract,"confirm ""managerial consolidation"" definition",No,Yes,NA,Yes,NA,SWP,SWP,SWP,14971,Community water system,NA,NA,NA,NA,1172 ICELAND AVENUEVANDENBERG AFB CA 93437,060839802001,"Block Group 1, Census Tract 9802, Santa Barbara County, California",3646,541,1919,372,395,186,8,12,170,74,14,17,589,154,67917,11267,1106,176,0,13,1106,176,1106,176,194890.332765,594653079.356,1105.6332925850675,NA,173.76878458642818,395.39205200815206,3714.336310578321,640.1512962250359,10.921029389880863,14.555588673016691,1938.1512965633208,1105.6332925850675,14.588020394932212,1091.0452721901352
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610118,YERMO WATER COMPANY,C,IOU,316,1033,NA,Aug-15,Aug-15,APPLE VALLEY RANCHOS WC-YERMO,CA3610118,IOU,None,None,0,0,0,0,0,None,Managerial,Managerial,Voluntary,NA,-116.8486176,34.90885925,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1033,Community water system,714.7015311,1,1,NA,38280 Gleason St Yermo CA 92398,060710116021,"Block Group 1, Census Tract 116.02, San Bernardino County, California",1793,695,1200,580,0,13,0,13,136,217,0,13,376,281,57013,31564,843,369,441,221,402,290,843,369,26781.862332,14796777.0027,3.325293355890736,189584.95009939853,0.5364648830381258,0,7.072658347701174,1.4831676178112891,0,0,4.733513673865816,3.325293355890736,1.7395662751456875,1.5857270807450485
