Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
DISTRICT 24 - TULARE,Tulare,NA,East Porterville,NA,Domestic wells,755,250,NA,NA,17-Mar,"PORTERVILLE, CITY OF",CA5410010,City,NA,Disaster,0,0,0,1,0,"SWRCB, DWR, OES",Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/east_porterville.pdf,NA,NA,OTHER,NA,NA,No,No,1P,Yes,NA,NA,GW,GW,65702,Community water system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.23691087,48.76308913,21.60490019,0.315840269,4.142735045,1.016820796,0.376446939,70.33753367,NA
DISTRICT 24 - TULARE,TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,C,MWC,28,92,12/10/20,NA,20-Dec,"PORTERVILLE, CITY OF",CA5410010,City,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/BEVERLYGRAND_STORY.PDF,-119.0491854,36.1008075,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,267.3464052,2,NA,NA,0,100,21.09020117,0,0,0,0,67.48864374,74919,51.23691087,48.76308913,21.60490019,0.315840269,4.142735045,1.016820796,0.376446939,70.33753367,NA
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400332,OXBOW MARINA (SWS),C,MWC,95,200,7/18/17,NA,17-Jul,Cal-Am Isleton,CA3410012,IOU,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/OXBOW_MARINA_MWC.PDF,-121.589959,38.150018,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1581,Community water system,1315.290929,1,NA,NA,24.21307506,75.78692494,68.70588235,0.941176471,2.705882353,0.705882353,0,24.58823529,45054,24.77632162,75.22367838,66.43541247,0.88203865,3.373646907,0.661528988,0,26.44227636,46022.20707
LPA39- El Dorado County,EL DORADO,CA0900655,ROCKWATER APTS.,C,Private (other),24,50,6/28/17,NA,17-Jun,Lukins Brothers Water Company,CA0910007,IOU,PCE,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-120.011217,38.91837,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,3200,Community water system,22.74725413,2,1,NA,61.003861,38.996139,84.44193912,0,4.058624577,0,0,7.553551297,66540,44.11413925,55.88586075,77.95834199,0.903591866,3.090359732,0,0,13.42712728,NA
DISTRICT 18 - SONOMA,SONOMA,CA4900786,RANCHO SANTA ROSA MHP,C,MHP,80,175,NA,16-Aug,16-Aug," SANTA ROSA, CITY OF",CA4910009,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.7148542,38.3933998,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,173648,Community water system,25.04393579,2,1,NA,49.46996466,50.53003534,52.67015707,3.769633508,0,0,0,41.46596859,67642,45.99029235,54.00970765,52.49198491,2.290819738,5.617907056,0.533904174,0.55975335,34.74957769,NA
LPA39- El Dorado County,EL DORADO,CA0900539,SUNRAY TAHOE HOTEL,NC,Private (other),3,120,7/20/17,NA,17-Jul,South Tahoe PUD,CA0910002,PUD,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.983058,38.928266,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,121124,Community water system,NA,NA,NA,NA,56.88073394,43.11926606,73.55679702,1.489757914,11.73184358,0,0,13.22160149,44750,47.8509102,52.1490898,65.39620759,0.625923604,5.230386207,0.120785948,0.077258007,25.02856628,NA
District 10 - Stockton,AMADOR,CA0310015,RABB PARK COMMUNITY SER. DIST.,C,CSD,108,268,1/11/17,NA,17-Jan,Amador Water Agency,CA0300073,Special Act District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.527533,38.452386,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SW,35,Non-Transient non-community system,NA,NA,NA,NA,24.4648318,75.5351682,88.85017422,0,0.929152149,0.464576074,0,9.407665505,49063,NA,NA,NA,NA,NA,NA,NA,NA,NA
DISTRICT 02 - LASSEN,PLUMAS,CA3210008,EAST QUINCY SERVICES DISTRICT,C,CSD,771,2572,4/19/19,NA,19-Apr,American valley CSD (formally Quincy CSD),CA3210004,CSD,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9105247,39.9381728,Both,Two CSDs (quincy and easy quincy) dissolved themseves and become one new CSD. Not physical integration I don't think but neither subsummed the other and got new system IDs so I think it qualifies as voluntary consolidation. See: https://www.americanvalleycsd.com/documents/636/Final_Consolidation_Resolution.pdf,NA,No,No,2,Yes,GW,NA,GW,GW,4300,Community water system,1227.811095,2,NA,3,69.35483871,30.64516129,77.09163347,18.7250996,0,0,0,4.183266932,NA,50.5559419,49.4440581,75.50187067,4.917790896,0.030419373,2.768491723,0,12.87523749,NA
NA,SANTA BARBARA,CA4210700,VANDENBERG AIR FORCE BASE,C,Federal,1161,6763,NA,NA,15-Sep,"AMERICAN WATER O&M, LLC - VAFB",CA4210700,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,Sept 2015 awarded american water 50 year contract,"confirm ""managerial consolidation"" definition",No,Yes,NA,Yes,NA,SWP,SWP,SWP,14971,Community water system,NA,NA,NA,NA,100,0,52.63302249,10.83379046,4.662643993,0.219418541,0.383982447,16.15469007,67917,98.68057334,1.319426657,52.18028564,10.64502562,4.678326626,0.294023709,0.391875895,17.23460782,NA
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610118,YERMO WATER COMPANY,C,IOU,316,1033,NA,15-Aug,15-Aug,APPLE VALLEY RANCHOS WC-YERMO,CA3610118,IOU,None,None,0,0,0,0,0,None,Managerial,Managerial,Voluntary,NA,-116.8486176,34.90885925,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1033,Community water system,714.7015311,1,1,NA,47.68683274,52.31316726,66.92693809,0,7.585052984,0,0,20.9704406,57013,47.68683274,52.31316726,66.92693809,0,7.585052984,0,0,20.9704406,57013
