"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"1","CA4200972",NA,NA,NA,"PEAKE RANCH","Transient non-community system","Santa Barbara"
"2","CA2300953",NA,NA,NA,"BOONVILLE HOTEL","Transient non-community system","Mendocino"
"3","CA2300954",NA,NA,NA,"OFFSTREET STUDIOS","Transient non-community system","Mendocino"
"4","CA4600066",NA,NA,NA,"THE LURE","Transient non-community system","Sierra"
"5","CA4901419",NA,NA,NA,"J. RICKARDS WINERY","Transient non-community system","Sonoma"
"6","CA2000966",NA,NA,NA,"SIERRA PINES CHURCH","Transient non-community system","Madera"
"7","CA3107342",NA,NA,NA,"LINCOLN HIGH SCHOOL FARM","Non-Transient non-community system","Placer"
"8","CA2300620",NA,NA,NA,"SEAFOAM LODGE","Transient non-community system","Mendocino"
"9","CA5403200",NA,NA,NA,"OL' BUCKAROO","Transient non-community system","Tulare"
"10","CA1503305",NA,NA,NA,"EL TACO LOCO","Transient non-community system","Kern"
"11","CA2400328",NA,NA,NA,"GARCIA FARMS PRODUCE","Transient non-community system","Merced"
"12","CA2300958",NA,NA,NA,"PENNYROYAL FARM","Transient non-community system","Mendocino"
"13","CA1503684",NA,NA,NA,"148 EAST WATER SYSTEM","Community water system","Kern"
"14","CA1105007",NA,NA,NA,"FARMERS BREWING CO.,LLC","Transient non-community system","Glenn"
"15","CA0605012",NA,NA,NA,"ADAM'S VEGETABLE OILS","Non-Transient non-community system","Colusa"
"16","CA4200973",NA,NA,NA,"FOLDED HILLS WINERY","Transient non-community system","Santa Barbara"
"17","CA2300518",NA,NA,NA,"NELSON FAMILY VINEYARDS","Non-Transient non-community system","Mendocino"
"18","CA2800066",NA,NA,NA,"MIRA WINERY","Transient non-community system","Napa"
"19","CA1800585",NA,NA,NA,"LASSEN COMMUNITY COLLEGE DIST.","Non-Transient non-community system","Lassen"
"20","CA4500063",NA,NA,NA,"CEDAR CREEK MOBILEHOME PARK","Community water system","Shasta"
"21","CA5000383",NA,NA,NA,"TAQUERIA RANCHO ALEGRE","Transient non-community system","Stanislaus"
"22","CA4301011",NA,NA,NA,"NESTLDOWN RANCH","Transient non-community system","Santa Clara"
"23","CA1000424",NA,NA,NA,"PRATHER WATER DISTRICT","Non-Transient non-community system","Fresno"
"24","CA1700738",NA,NA,NA,"BOATIQUE WINES","Transient non-community system","Lake"
"25","CA0105018",NA,NA,NA,"PURPLE ORCHID RESORT SPA","Transient non-community system","Alameda"
"26","CA2800051",NA,NA,NA,"CHAPPELLET WINERY","Transient non-community system","Napa"
"27","CA3700959",NA,NA,NA,"WARNER SPRINGS RANCH RESORT LLC","Non-Transient non-community system","San Diego"
"28","CA2800052",NA,NA,NA,"ITALICS WINERY","Transient non-community system","Napa"
"29","CA0300095",NA,NA,NA,"AMADOR FLOWER FARM","Transient non-community system","Amador"
"30","CA0900116",NA,NA,NA,"MOTHER LODE WATER SYSTEM","Transient non-community system","El Dorado"
"31","CA2400341",NA,NA,NA,"PACIFIC UNION PACKING","Transient non-community system","Merced"
"32","CA1200823",NA,NA,NA,"ANGELINA","Transient non-community system","Humboldt"
"33","CA5200600",NA,NA,NA,"GURNSEY AVENUE MUTUAL WATER SYSTEM","Community water system","Tehama"
"34","CA0105019",NA,NA,NA,"SUNOL SUPER STOP","Transient non-community system","Alameda"
"35","CA4200974",NA,NA,NA,"MAIN STREET PRODUCE","Non-Transient non-community system","Santa Barbara"
"36","CA1000620",NA,NA,NA,"DOLLAR GENERAL STORE  #15320","Transient non-community system","Fresno"
"37","CA5700734",NA,NA,NA,"DOLLAR GENERAL STORE #16171","Transient non-community system","Yolo"
"38","CA4901426",NA,NA,NA,"HORSE & PLOW TASTING ROOM","Transient non-community system","Sonoma"
"39","CA2300903",NA,NA,NA,"FLOODGATE WATER SYSTEM","Transient non-community system","Mendocino"
"40","CA2300950",NA,NA,NA,"MENDOCINO COUNTY FAIRGROUNDS","Transient non-community system","Mendocino"
"41","CA2700521",NA,NA,NA,"CEA DEVELOPMENT, LLC WS","Non-Transient non-community system","Monterey"
"42","CA4700875",NA,NA,NA,"KLAMATH BASIN NATIONAL WILDLIFE REFUGE","Transient non-community system","Siskiyou"
"43","CA5000592",NA,NA,NA,"MID VALLEY AG","Non-Transient non-community system","Stanislaus"
"44","CA0400021",NA,NA,NA,"ROBINSON'S CORNER MHP","Community water system","Butte"
"45","CA2801020",NA,NA,NA,"ESPINOZA WATER SYSTEM","Community water system","Napa"
"46","CA3600490",NA,NA,NA,"CRAB FLATS CAMPGROUND","Transient non-community system","San Bernardino"
"47","CA2800008",NA,NA,NA,"GOOSECROSS CELLARS","Transient non-community system","Napa"
"48","CA3601185",NA,NA,NA,"MOJAVE SOLAR PROJECT BETA POWER PLANT","Non-Transient non-community system","San Bernardino"
"49","CA3601184",NA,NA,NA,"MOJAVE SOLAR PROJECT ALPHA POWER PLANT","Non-Transient non-community system","San Bernardino"
"50","CA1000305",NA,NA,NA,"MUSICK CREEK INN","Transient non-community system","Fresno"
"51","CA0900109",NA,NA,NA,"DRU BARNER CAMPGROUND","Transient non-community system","El Dorado"
"52","CA1503243",NA,NA,NA,"HONDA PROVING CENTER","Non-Transient non-community system","Kern"
"53","CA2800047",NA,NA,NA,"ASHES & DIAMONDS WINERY","Non-Transient non-community system","Napa"
"54","CA4000829",NA,NA,NA,"VINES R.V. RESORT","Transient non-community system","San Luis Obispo"
