"","PWS.ID","PWS.Type.x","PWS.Name.x","Owner.Type.x","PWS.Name.y","PWS.Type.y","Owner.Type.y"
"1","CA1502247","Community water system","DESERT BREEZE MOBILE HOME ESTATES","Public/Private","DESERT BREEZE MOBILE HOME ESTATES","Community water system","Private"
"2","CA2010009","Community water system","MADERA CO SA NO 19-ROLLING HILLS","Local government","BAKMAN WATER-ROLLING HILLS","Community water system","Private"
"3","CA1000315","Non-Transient non-community system","CLAY JOINT ELEMENTARY SCHOOL","Private","CLAY JOINT ELEMENTARY SCHOOL","Non-Transient non-community system","Local government"
"4","CA2000260","Transient non-community system","COARSEGOLD SELF SERVE (SHELL)","Public/Private","COARSEGOLD SELF SERVE","Transient non-community system","Private"
"5","CA2000275","Non-Transient non-community system","CHILDREN'S HOSPITAL CENTRAL CALIF","Public/Private","VALLEY CHILDREN'S HOSPITAL","Non-Transient non-community system","Private"
"6","CA2000508","Transient non-community system","CALVIN CREST CONFERENCE CENTER","Public/Private","CALVIN CREST CONFERENCE CENTER","Transient non-community system","Private"
"7","CA2000938","Non-Transient non-community system","PACIFIC ETHANOL MADERA LLC","Public/Private","PACIFIC ETHANOL, INC","Non-Transient non-community system","Private"
"8","CA0500085","Non-Transient non-community system","TOYON MIDDLE SCHOOL","State government","TOYON MIDDLE SCHOOL","Non-Transient non-community system","Private"
"9","CA1000182","Non-Transient non-community system","BURREL UNION ELEMENTARY SCHOOL","Private","BURREL UNION ELEMENTARY SCHOOL","Non-Transient non-community system","Local government"
"10","CA2110009","Transient non-community system","SLIDE RANCH","Public/Private","SLIDE RANCH","Transient non-community system","Private"
"11","CA1900594","Transient non-community system","CAMP VERDUGO OAKS BOY SCOUTS","Private","CAMP VERDUGO OAKS BOYSCOUTS","Transient non-community system","Federal government"
"12","CA5510028","Community water system","TUD-APPLE VALLEY ESTATES","Public/Private","TUD-APPLE VALLEY ESTATES","Community water system","Local government"
"13","CA5510025","Community water system","TUD - PHOENIX LAKE PARK","Public/Private","TUD - PHOENIX LAKE PARK","Community water system","Local government"
"14","CA5510021","Community water system","TUD-PEACEFUL PINES WATER SYSTEM","Public/Private","TUD-PEACEFUL PINES WATER SYSTEM","Community water system","Local government"
"15","CA0707574","Community water system","SANTIAGO ISLAND VILLAGE","Public/Private","SANTIAGO ISLAND VILLAGE","Community water system","Private"
"16","CA1502232","Community water system","ROSAMOND MOBILEHOME PARK","Public/Private","ROSAMOND MOBILEHOME PARK","Community water system","Private"
"17","CA3410802","Non-Transient non-community system","RICHARD A. MCGEE TRAINING CENTER","Public/Private","RICHARD A. MCGEE TRAINING CENTER","Non-Transient non-community system","State government"
"18","CA0900660","Non-Transient non-community system","HEAVENLY SKI RESORT","Public/Private","HEAVENLY SKI CREEK STATION","Non-Transient non-community system","Private"
"19","CA2701202","Community water system","CAL AM WATER COMPANY - CHUALAR","Local government","CAL AM WATER COMPANY - CHUALAR","Community water system","Private"
"20","CA4210700","Community water system","VANDENBERG AIR FORCE BASE","Federal government","AMERICAN WATER O&M, LLC - VAFB","Community water system","Private"
"21","CA1502315","Community water system","CAMP OWEN WATER SYSTEM","Public/Private","CAMP OWEN WATER SYSTEM","Community water system","Local government"
"22","CA5400548","Transient non-community system","KINGS INN MOTEL","Public/Private","KINGS INN MOTEL","Transient non-community system","Private"
"23","CA5400604","Community water system","MOUNTAIN VIEW DUPLEXES","Public/Private","MOUNTAIN VIEW DUPLEXES","Community water system","Private"
"24","CA4100553","Transient non-community system","PIGEON POINT YOUTH HOSTEL","Public/Private","PIGEON POINT YOUTH HOSTEL","Transient non-community system","State government"
"25","CA1502221","Non-Transient non-community system","POND SCHOOL WATER SYSTEM","Public/Private","POND SCHOOL WATER SYSTEM","Non-Transient non-community system","Local government"
"26","CA2000942","Transient non-community system","CHOWCHILLA CONG OF J W S","Public/Private","CHOWCHILLA CONG OF J W S","Transient non-community system","Private"
"27","CA2000944","Transient non-community system","BONITA MINI MART (KATY'S MARKET - WATER","Public/Private","BONITA MINI MART KATYS MARKET  WATER","Transient non-community system","Private"
"28","CA2000946","Transient non-community system","PANOCHE CREEK RIVER RANCH LLC","Public/Private","PANOCHE CREEK RIVER RANCH","Transient non-community system","Private"
"29","CA2000670","Transient non-community system","PG&E AG WISHON POWERHOUSE","Public/Private","PG&E AG WISHON POWERHOUSE","Transient non-community system","Private"
"30","CA2000571","Transient non-community system","SNOWLINE WATER SYSTEM","Public/Private","SNOWLINE","Transient non-community system","Private"
"31","CA2000568","Transient non-community system","QUEEN'S INN BY THE RIVER","Public/Private","QUEEN'S INN BY THE RIVER","Transient non-community system","Private"
"32","CA2000206","Transient non-community system","BUILDING FOR CHRIST","Public/Private","BUILDING FOR CHRIST","Non-Transient non-community system","Private"
"33","CA1000189","Non-Transient non-community system","LATON HIGH SCHOOL","Private","LATON HIGH SCHOOL","Non-Transient non-community system","Local government"
"34","CA5400767","Community water system","DEL ORO EAST PLANO DISTRICT","Public/Private","DEL ORO EAST PLANO DISTRICT","Community water system","Private"
"35","CA1700502","Community water system","ANDERSON SPRINGS CSD","Private","ANDERSON SPRINGS CSD","Community water system","Local government"
"36","CA4300808","Non-Transient non-community system","O'CONNOR HOSPITAL","Public/Private","O'CONNOR HOSPITAL","Non-Transient non-community system","Local government"
"37","CA1000181","Non-Transient non-community system","ALVINA SCHOOL","Private","ALVINA SCHOOL","Non-Transient non-community system","Local government"
"38","CA1000192","Non-Transient non-community system","MONROE SCHOOL","Private","MONROE SCHOOL","Non-Transient non-community system","Local government"
"39","CA5000211","Non-Transient non-community system","RIVERBANK LRA","Federal government","RIVERBANK LRA","Non-Transient non-community system","Public/Private"
"40","CA3100029","Community water system","TIMBERLAND TRACT WATER CO","Private","TAHOE CITY PUD - TIMBERLAND","Community water system","Local government"
"41","CA0110019","Transient non-community system","GOLDEN GATE CHURCH","Public/Private","GOLDEN GATE CHURCH","Transient non-community system","Private"
"42","CA1000005","Community water system","BIG CREEK COMMUNITY SERV DIST","Private","BIG CREEK COMMUNITY SERV DIST","Community water system","Local government"
"43","CA1000069","Community water system","SHAVER LAKE HEIGHTS PROP ASSN","Federal government","SHAVER LAKE HEIGHTS PROP ASSN","Community water system","Private"
"44","CA0110016","Community water system","ALAMEDA POINT","Federal government","ALAMEDA POINT","Community water system","Local government"
"45","CA3601139","Transient non-community system","CAMP HEART BAR EQUESTRIAN GROUP","Public/Private","CAMP HEART BAR EQUESTRIAN GROUP","Transient non-community system","Federal government"
"46","CA3601140","Transient non-community system","SOUTH FORK CAMPGROUND","Public/Private","SOUTH FORK CAMPGROUND","Transient non-community system","Federal government"
"47","CA0900587","Transient non-community system","HEAVENLY SKI RESORT","Public/Private","HEAVENLY SKI SKY DECK","Transient non-community system","Private"
"48","CA3700922","Community water system","LIVE OAK SPRINGS WATER COMPANY","Private","LIVE OAK SPRINGS WATER SYSTEM","Community water system","Local government"
"49","CA3200718","Transient non-community system","PNF SANDY POINT DAY USE AREA","Private","PNF SANDY POINT DAY USE AREA","Transient non-community system","Federal government"
"50","CA2600568","Non-Transient non-community system","EDNA BEAMAN ELEMENTARY SCHOOL","State government","EDNA BEAMAN ELEMENTARY SCHOOL","Non-Transient non-community system","Local government"
"51","CA0900316","Transient non-community system","SMUD POWERHOUSE (HEALTH)","Public/Private","SMUD POWERPINES CAMP","Transient non-community system","Private"
"52","CA0400063","Transient non-community system","MANZANITA ELEMENTARY SCHOOL","State government","MANZANITA ELEMENTARY SCHOOL","Non-Transient non-community system","Local government"
"53","CA0900511","Transient non-community system","CATHEDRAL WATER ASSOCIATION","Public/Private","CATHEDRAL WATER ASSOCIATION","Transient non-community system","Private"
"54","CA0900525","Transient non-community system","ECHO ROAD GROUP WATER ASSOC","Public/Private","ECHO ROAD GROUP WATER ASSOC","Transient non-community system","Private"
"55","CA0900652","Transient non-community system","ECHO CHALET INC","Public/Private","ECHO CHALET INC","Transient non-community system","Private"
"56","CA3600114","Community water system","CSA 70 W-3 HACIENDA","Local government","CSA 70 W-3 HACIENDA","Community water system","Private"
