"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y","match"
"1","CA1700592","BAYVIEW RECREATIONAL PARK","Lake","Community water system","KONOCTI SHORES","Community water system","Lake",0.12
"2","CA3301140","Chuckwalla Valley Associates","Riverside","Transient non-community system","CHUCKWALLA VALLEY RACEWAY WATER SYSTEM","Transient non-community system","Riverside",0.131578947368421
"3","CA1700596","LAKEVIEW HAVEN RESORT","Lake","Community water system","BLUE LAKES VILLAGE","Community water system","Lake",0.19047619047619
"4","CA1200648","FERNBRIDGE MARKET","Humboldt","Transient non-community system","RIDGETOP CAFE","Transient non-community system","Humboldt",0.294117647058823
"5","CA1503682","SUNSELECT PRODUCE, INC.","Kern","Non-Transient non-community system","REVOL GREENS","Non-Transient non-community system","Kern",0.217391304347826
"6","CA3301137","Valley Auto Water","Riverside","Transient non-community system","VALLEY AUTO WATER","Transient non-community system","Riverside",0.294117647058823
"7","CA4810701","TRAVIS AIR FORCE BASE - DISTRIBUTION","Solano","Community water system","CALIFORNIA WATER SERVICE CO.-TRAVIS AFB","Community water system","Solano",0.205128205128205
"8","CA3601165","MY PLACE","San Bernardino","Transient non-community system","OAK GLEN STEAK HOUSE","Transient non-community system","San Bernardino",0.2
"9","CA4400903","NARCONON VISTA BAY","Santa Cruz","Community water system","ELEVATE ADDICTION SERVICES","Transient non-community system","Santa Cruz",0.153846153846154
"10","CA1000587","SHAVER LAKE POINT LLC","Fresno","Transient non-community system","THE POINT AT SHAVER LAKE","Transient non-community system","Fresno",0.166666666666667
"11","CA3200193","PNF Nervino Fire Station","Plumas","Transient non-community system","PNF BECKWOURTH NERVINO FIRE STATION","Transient non-community system","Plumas",0.257142857142857
"12","CA1000405","DOYALS MOBILE HOME PARK","Fresno","Community water system","PIEDRA PARK ASSOCIATION","Community water system","Fresno",0.0869565217391305
"13","CA2410305","CDPR-LOS BANOS CREEK","Merced","Transient non-community system","CDPR-SECTOR WIDE POTABLE WATER TANKS","Transient non-community system","Merced",0.305555555555556
"14","CA3301143","Centro Medico Oasis","Riverside","Transient non-community system","CENTRO MEDICO OASIS","Non-Transient non-community system","Riverside",0.263157894736842
"15","CA1000483","SALWASSER DEHYDRATOR","Fresno","Transient non-community system","RIVER RANCH RAISINS","Transient non-community system","Fresno",0.1
"16","CA4110016","HILLSBOROUGH WATER DEPT.","San Mateo","Community water system","TOWN OF HILLSBOROUGH","Community water system","San Mateo",0.166666666666667
"17","CA1500571","LUCKY 18 ON ROSAMOND, LLC","Kern","Community water system","KERN MOBILE ESTATES LLC","Community water system","Kern",0.24
"18","CA1910108","BELL GARDENS-CITY, WATER DEPT.","Los Angeles","Community water system","CITY OF BELL GARDENS","Community water system","Los Angeles",0.233333333333333
"19","CA5400880","THE LAKES","Tulare","Community water system","THE LAKES ASSOCIATION","Community water system","Tulare",0.428571428571429
"20","CA3601171","DEMPSEYS PUB","San Bernardino","Transient non-community system","ABRAHAM MAIDA WATER SYSTEM","Transient non-community system","San Bernardino",0.115384615384615
